Stream,Site,sample.year,season,do.mgl,ph,temp.C,sc.uScm,ac.uScm,alkalinity.mgl,hardness.mgl,tn.mgl,tp.mgl,nh3-n.mgl,no2no3-n.mgl,ortho.po4-p.mgl,npoc.mgl,cl.mgl,so4.mgl,co3.mgl,hco3.mgl,na.mgl,mg.mgl,k.mgl,ca.mgl,li.ugl,al.ugl,ti.ugl,v.ugl,cr.ugl,fe.ugl,mn.ugl,co.ugl,ni.ugl,cu.ugl,zn.ugl,as.ugl,se.ugl,sr.ugl,mo.ugl,ag.ugl,cd.ugl,sn.ugl,ba.ugl,pb.ugl,u.ugl
EAS,EAS1,2022,Spring,10.9,8.02,9.2,21,14,11.9,7.3,0.25,0.005,0.05,0.13,0.01,0.43,0.29,2.78,0,14.46,0.48,0.46,0.29,2.14,0.13,3.72,0.07,0.01,0.07,0.285,0.32,0.01,0.1,0.025,23.91,0.001,0.075,9.78,0.001,0.001,0.005,0.01,9.85,0.002,0.01
EAS,EAS2,2022,Spring,11.1,7.5,9.3,22,15,13.3,8.1,0.27,0.01,0.04,0.17,0.01,0.42,0.39,2.72,0,16.21,0.48,0.47,0.28,2.48,0.15,3.61,0.09,0.02,0.05,0.285,0.27,0.01,0.07,0.025,24.44,0.001,0.075,10.45,0.001,0.01,0.005,0.01,9.55,0.002,0.02
EAS,EAS3,2022,Spring,10.6,7.42,9.5,18,13,9.4,6.3,0.27,0.02,0.005,0.17,0.005,0.51,0.3,2.64,0,11.44,0.48,0.44,0.29,1.78,0.15,3.89,0.08,0.01,0.04,0.285,0.3,0.01,0.07,0.025,22.65,0.001,0.075,8.25,0.001,0.001,0.005,0.01,8.86,0.002,0.01
EAS,EAS4,2022,Spring,10.7,7.14,9.6,17,12,7.8,5.5,0.35,0.02,0.005,0.2,0.005,0.51,0.26,2.46,0,9.49,0.47,0.41,0.29,1.53,0.14,4.41,0.04,0.005,0.03,0.285,0.34,0.01,0.09,0.025,22.95,0.001,0.075,7.49,0.001,0.001,0.005,0.01,8.86,0.002,0.01
EAS,EAS5,2022,Spring,10.7,7.01,9.8,16,11,6.6,5.1,0.33,0.01,0.03,0.19,0.005,0.55,0.26,2.36,0,8.02,0.48,0.39,0.29,1.4,0.16,4.99,0.02,0.005,0.04,0.285,0.47,0.01,0.11,0.025,22.76,0.001,0.075,7.2,0.001,0.001,0.005,0.01,8.84,0.002,0.0005
EAS,EAS6,2022,Spring,10.3,7.02,9.8,15,11,6.7,4.9,0.31,0.005,0.005,0.2,0.005,0.66,0.3,2.31,0,8.2,0.48,0.38,0.28,1.33,0.14,5.66,0.03,0.01,0.04,0.285,0.45,0.01,0.12,0.025,24.57,0.001,0.075,7.03,0.001,0.001,0.005,0.01,8.63,0.002,0.0005
EAS,EAS7,2022,Spring,10.6,6.57,10,14,10,5.7,4.4,0.31,0.005,0.005,0.25,0.005,0.51,0.24,2.17,0,6.89,0.46,0.38,0.27,1.14,0.15,5.93,0.02,0.005,0.03,0.285,0.54,0.01,0.11,0.025,25.47,0.001,0.075,6.59,0.001,0.001,0.005,0.01,8.15,0.002,0.0005
EAS,EAS8,2022,Spring,10.2,6.45,10.3,14,10,4.8,4.1,0.43,0.01,0.005,0.32,0.005,0.64,0.3,2.16,0,5.88,0.52,0.4,0.32,0.99,0.13,8.3,0.06,0.01,0.03,0.285,0.88,0.01,0.14,0.05,23.52,0.001,0.075,6.37,0.001,0.001,0.005,0.01,8.44,0.002,0.0005
EAS,EAS9,2022,Spring,10.4,6.2,9.3,14,10,4.3,4,0.55,0.01,0.005,0.41,0.005,0.54,0.27,1.96,0,5.29,0.49,0.4,0.32,0.95,0.15,8.88,0.02,0.01,0.03,0.285,0.98,0.01,0.15,0.09,23.05,0.001,0.075,5.91,0.001,0.001,0.01,0.01,9.34,0.002,0.0005
EAS,EAST,2022,Spring,10.1,8.04,9.4,14,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAS,EAST01,2022,Spring,9.3,7.73,9.5,13,9,4.4,3.4,0.12,0.01,0.005,0.02,0.005,0.48,0.32,2.72,0,5.4,0.43,0.37,0.31,0.74,0.15,6.11,0.03,0.005,0.03,0.285,0.74,0.02,0.23,0.025,24.19,0.001,0.075,5.22,0.001,0.001,0.01,0.01,9.2,0.002,0.0005
EAS,EAST2,2022,Spring,10.1,6.83,10.2,13,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAS,EAST3,2022,Spring,10.1,4.75,10.2,14,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRY,FRY1,2022,Spring,11.3,7.96,10,343,245,76,133.6,0.3,0.01,0.005,0.13,0.005,0.96,6,102.03,0,92.72,14.57,13.42,1.65,31.44,4.78,1.52,0.05,0.07,0.04,0.285,0.67,0.03,0.28,0.27,23.57,0.001,0.075,405.55,0.001,0.001,0.005,0.01,38.17,0.002,0.1
FRY,FRY2,2022,Spring,11,7.87,10.2,346,248,74.4,132.4,0.86,0.02,0.03,0.15,0.005,1.25,5.95,100.21,0,90.72,13.91,13.32,1.69,31.12,4.19,1.93,0.16,0.1,0.04,0.285,0.77,0.03,0.31,0.4,25.12,0.001,0.075,375.24,0.001,0.01,0.005,0.01,37.18,0.002,0.11
FRY,FRY3,2022,Spring,11.2,7.99,10.7,326,237,68.3,126.4,0.31,0.01,0.005,0.12,0.005,0.94,6.03,94.12,0,83.37,12.36,12.57,1.59,29.96,3.2,1.76,0.1,0.07,0.04,0.285,0.73,0.03,0.27,0.21,23.59,0.001,0.075,318.1,0.001,0.001,0.005,0.01,34.72,0.002,0.09
FRY,FRY4,2022,Spring,12,8.04,11.5,325,241,65.7,127.4,0.29,0.01,0.005,0.11,0.005,1.16,6.12,95.1,0,80.11,11.9,12.74,1.6,30.07,3.28,2.23,0.11,0.08,0.05,0.285,1.15,0.03,0.28,0.23,22.22,0.001,0.075,316.29,0.001,0.001,0.005,0.01,33.16,0.002,0.09
FRY,FRY5,2022,Spring,11.1,8.03,12.9,312,240,60.7,121.6,0.25,0.005,0.005,0.12,0.005,0.94,6.28,92.61,0,74.1,10.91,12.26,1.53,28.52,3.24,2.74,0.09,0.08,0.04,0.285,1.05,0.03,0.24,0.54,24.23,0.001,0.075,288.04,0.001,0.001,0.005,0.01,30.91,0.002,0.09
FRY,FRY6,2022,Spring,10.6,8.26,13.7,309,243,54.2,124.6,0.29,0.01,0.005,0.15,0.005,0.9,6.63,95.78,0,66.1,8.91,12.7,1.59,29.01,2.89,3.39,0.08,0.09,0.04,0.285,0.94,0.03,0.25,0.19,21.07,0.001,0.075,269.56,0.001,0.001,0.005,0.01,29.91,0.002,0.07
FRY,FRY7,2022,Spring,10.4,8.05,13,128,99,35,38.9,0.32,0.005,0.005,0.16,0.01,0.96,9.13,14.85,0,42.68,8.29,3.53,1.15,9.74,0.43,3.64,0.13,0.12,0.03,0.285,0.76,0.02,0.23,0.58,25.4,0.001,0.075,74.82,0.001,0.001,0.005,0.01,25.5,0.002,0.01
FRY,FRY8,2022,Spring,10.4,7.89,13,120,93,31.9,36.2,0.52,0.005,0.005,0.18,0.005,0.9,8.73,14.22,0,38.94,7.69,3.35,1.09,9.01,0.43,3.7,0.14,0.11,0.02,0.285,0.54,0.02,0.11,0.1,21.08,0.001,0.075,74.69,0.001,0.001,0.005,0.01,25.2,0.002,0.01
FRY,FRY9,2022,Spring,10,7.61,12.3,61,46,25.9,16.9,0.34,0.01,0.005,0.24,0.005,0.76,3.51,10.26,0,31.57,3.91,1.83,1.02,3.76,0.29,2.99,0.16,0.04,0.01,0.285,0.43,0.01,0.12,0.09,24.81,0.001,0.075,35.46,0.001,0.001,0.005,0.01,18.45,0.002,0.0005
FRY,FRYT1,2022,Spring,10.5,7.94,10.4,407,494,155.5,113.1,0.21,0.02,0.005,0.09,0.01,0.85,0.83,70.19,0,189.73,45.56,10.21,1.54,28.49,14.63,4.08,0.19,0.07,0.05,0.285,0.17,0.03,0.22,0.13,22.81,0.001,0.075,644.95,0.001,0.001,0.005,0.01,49.91,0.002,0.24
FRY,FRYT2,2022,Spring,9.9,7.96,12.1,681,514,115.5,333.9,0.33,0.005,0.005,0.23,0.005,0.95,2.94,268.65,0,140.86,14.21,34.38,2.82,77.19,11.94,1.9,0.12,0.04,0.04,0.285,0.64,0.06,0.61,0.26,20.74,0.001,0.075,901.69,0.001,0.001,0.005,0.01,34.18,0.002,0.33
FRY,FRYT3,2022,Spring,10.5,8.07,12.3,401,304,49.5,182.1,0.37,0.01,0.005,0.21,0.01,0.82,2.65,161.19,0,60.41,6.07,19.25,1.93,41.28,2.04,3.96,0.17,0.06,0.04,0.285,1.3,0.04,0.38,0.22,17.35,-0.12,0.075,267.13,0.001,0.01,0.005,0.01,39.9,0.002,0.06
FRY,FRYT4,2022,Spring,10.2,7.93,11.7,586,437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRY,FRYT5,2022,Spring,9.8,7.96,12,178,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLW,LLW1,2022,Spring,11.5,8.47,9.2,907,635,100.2,472.5,0.28,0.005,0.005,0.23,0.005,1.92,0.83,420.29,0,122.2,7.42,58.64,4.08,92.83,14.64,3.44,0.1,0.04,0.08,0.285,0.69,0.08,1.08,0.5,15.78,0.001,2.95,1790.98,0.001,0.001,0.01,0.01,42.05,0.002,0.72
LLW,LLW2,2022,Spring,11.1,8.49,10.9,927,679,104.6,491.9,0.34,0.005,0.005,0.22,0.005,1.41,0.88,435.83,0,127.61,7.65,60.37,4.33,97.77,15.31,3.86,0.05,0.03,0.07,0.285,0.91,0.08,1.24,0.46,15.74,0.001,3.09,1869.94,0.001,0.001,0.01,0.01,41.61,0.002,0.68
LLW,LLW3,2022,Spring,10.3,8.42,12.3,1062,805,123.5,573,0.33,0.01,0.005,0.19,0.005,1.8,0.88,504.38,0,150.65,8.33,70.15,5.1,114.14,19.04,4.28,0.05,0.03,0.07,0.285,0.98,0.09,1.57,0.48,2.87,0.001,4.12,2104.85,0.001,0.001,0.01,0.01,38.65,0.002,0.76
LLW,LLW4,2022,Spring,10.8,8.37,11.9,1105,828,128.2,595,0.29,0.005,0.005,0.16,0.005,1.85,0.94,538.6,0,156.4,8.59,72.27,5.36,119.48,20.35,4.73,0.06,0.02,0.08,0.285,0.81,0.1,1.85,0.51,23.99,0.001,4.34,2220.17,0.001,0.001,0.01,0.01,37.82,0.002,0.83
LLW,LLW5,2022,Spring,10.8,8.39,10.3,1362,982,190.8,782,0.33,0.005,0.005,0.21,0.005,1.25,1.14,652.43,0,232.75,8.44,100.3,7.32,148.29,9.1,3.16,0.03,0.02,0.11,0.285,1.14,0.12,1.27,0.66,12.75,0.001,1.75,2173.89,0.001,0.001,0.005,0.01,40.14,0.002,1.7
LLW,LLW6,2022,Spring,10.4,8.39,11.2,1687,1245,273.4,1030.1,0.43,0.01,0.07,0.3,0.005,1.14,1.3,812.07,0,333.6,9.12,132.7,9.83,194.43,12.82,3.1,0.01,0.005,0.1,0.285,40.74,0.19,1.86,1,11.49,0.001,2.35,2680.76,0.001,0.001,0.005,0.01,32.54,0.002,2.46
LLW,LLWT1,2022,Spring,11.5,8.33,9.4,395,278,30.3,173,0.46,0.005,0.005,0.36,0.005,1.77,0.67,171.82,0,37.01,6.15,20.45,1.83,35.67,2.33,3.39,0.05,0.005,0.07,0.285,0.63,0.04,0.42,0.19,13.31,0.001,0.075,1022.62,0.001,0.001,0.005,0.01,55.91,0.002,0.12
LLW,LLWT2,2022,Spring,10.5,8.41,12.1,1015,766,110.4,560.6,0.34,0.005,0.03,0.25,0.005,1.25,0.86,492.08,0,134.69,9.26,66.89,4.87,114.56,26.57,5.75,0.04,0.02,0.09,0.285,1.02,0.1,2.55,0.46,11.33,0.001,5.12,2300.71,0.001,0.001,0.01,0.01,35.68,0.002,0.55
LLW,LLWT3,2022,Spring,11.3,8.37,8.2,1136,773,118.4,641.3,0.23,0.01,0.005,0.05,0.005,1.13,0.95,566.34,0,144.42,10.18,74.06,5.37,135.07,10.41,2.95,0.005,0.04,0.1,0.285,0.93,0.11,1.28,0.51,10.18,0.001,2.71,2304.38,0.001,0.001,0.005,0.01,62.5,0.002,0.73
LLW,LLWT4,2022,Spring,10.9,8.92,8.8,43,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROL,ROL1,2022,Spring,11.3,9.28,9.1,516,359,90.2,227.1,0.28,0.01,0.005,0.1,0.005,0.91,1.15,186.95,0,110.07,17.12,23.62,2.13,52.09,,2.09,0.18,0.03,0.06,0.285,2.38,0.06,0.55,0.26,22.94,0.001,0.59,620.88,0.001,0.01,0.005,0.01,41.8,0.002,0.19
ROL,ROL2,2022,Spring,10.7,8.04,10.4,620,448,86.3,293.7,0.19,0.005,0.005,0.1,0.005,0.91,1.39,255.5,0,105.26,15.14,31.87,2.4,65.2,5.21,2.13,0.13,0.02,0.05,0.285,0.52,0.06,0.64,0.3,22.6,0.001,0.075,610.51,0.001,0.001,0.005,0.01,41.83,0.002,0.24
ROL,ROL3,2022,Spring,9.9,7.83,11.2,665,490,89.3,324.9,0.3,0.005,0.005,0.13,0.005,1.1,1.61,271.17,0,108.92,15.29,35.28,2.59,72.1,5.8,2.09,0.1,0.01,0.05,0.285,4.55,0.07,0.73,0.38,22.03,0.001,0.075,656.06,0.001,0.001,0.005,0.01,42.52,0.002,0.28
ROL,ROL4,2022,Spring,9.8,7.88,12.4,819,623,85.7,420.6,0.33,0.01,0.005,0.09,0.005,1.23,2.04,376.29,0,104.58,14.93,46.09,3.17,92.65,6.16,2.15,0.06,0.03,0.08,0.285,1.08,0.09,0.98,0.49,19.25,0.001,0.075,735.18,0.001,0.001,0.005,0.01,45.14,0.002,0.35
ROL,ROL5,2022,Spring,9.8,8.06,14.2,954,759,82,515.4,0.32,0.005,0.005,0.11,0.005,1.21,2.39,459.19,0,100.09,15.21,56.95,3.72,112.77,7.13,2.71,0.09,0.05,0.11,0.285,1.08,0.1,1.08,0.55,23.21,0.001,0.6,825.71,0.001,0.001,0.005,0.01,42.06,0.002,0.44
ROL,ROL6,2022,Spring,8.4,7.95,13.8,1244,978,92.7,730.6,0.57,0.01,0.04,0.3,0.005,1.51,4.15,646.95,0,113.12,8.95,82.9,4.84,156.28,3.61,2.49,0.02,0.04,0.13,0.285,4.22,0.14,1.63,0.8,21.34,0.001,1.78,789.5,0.001,0.001,0.01,0.01,41.94,0.002,0.91
ROL,ROL7,2022,Spring,10.8,7.93,10.5,1505,1089,132.1,953.2,0.73,0.005,0.03,0.53,0.005,1.35,5.19,783.57,0,161.19,10.79,105.67,5.45,207.96,4.76,1.97,0.08,0.02,0.15,0.285,8.35,0.18,2.43,0.88,25.36,0.001,2.56,1059.04,0.001,0.001,0.01,0.01,28.25,0.002,1.42
ROL,ROLT1,2022,Spring,10.5,8.09,12,367,277,111.1,132.5,0.3,0.005,0.005,0.15,0.005,0.78,0.75,84.14,0,135.49,25.06,11.33,1.76,34.41,18.12,2.47,0.22,0.01,0.05,0.285,1.55,0.04,0.51,0.4,25.77,0.001,0.075,806.8,0.001,0.001,0.005,0.01,46.65,0.002,0.1
ROL,ROLT2,2022,Spring,10.4,8.11,12.2,838,634,92.9,407.3,0.29,0.005,0.005,0.18,0.005,0.92,0.9,377.06,0,113.29,21.25,42.58,3.13,93.07,13.96,2.13,0.22,0.02,0.06,0.285,0.42,0.08,0.94,0.31,20.74,0.001,0.075,922.72,0.001,0.001,0.005,0.01,36.64,0.002,0.17
ROL,ROLT3,2022,Spring,10.6,8.21,9.5,271,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC,SPC1,2022,Spring,12.5,8.27,6.6,379,247,104.7,125.2,0.12,0.005,0.005,0.03,0.005,1.02,4.21,89.01,0,127.78,30.83,11.32,1.61,31.51,16.85,3.7,0.04,0.02,0.05,0.285,7.27,0.06,1.07,0.15,7.28,0.001,0.075,342.82,0.001,0.001,0.005,0.01,43.63,0.002,0.09
SPC,SPC2,2022,Spring,12.7,8.42,7.5,396,264,106.5,129.9,0.17,0.02,0.005,0.03,0.01,1.02,4.47,96.66,0,129.98,31.02,11.74,1.69,32.69,19.16,3.63,0.17,0.06,0.05,0.285,32.63,0.1,1.28,0.17,16.89,0.001,0.075,364.8,0.001,0.01,0.005,0.01,41.51,0.002,0.11
SPC,SPC3,2022,Spring,12.7,8.37,7.6,399,267,91.2,148.4,0.25,0.005,0.005,0.07,0.005,0.99,4.77,113.78,0,111.31,23.54,13.64,1.86,37,20.81,3.91,0.15,0.03,0.04,15.77,44.33,0.14,1.91,0.24,24.42,0.001,0.075,419.71,0.001,0.001,0.01,0.01,35.97,0.002,0.12
SPC,SPC4,2022,Spring,11.3,8.24,11.7,433,324,96.7,162.6,0.38,0.005,0.005,0.09,0.005,1.05,5.13,129.74,0,118,24.77,15.12,2.03,40.25,26,6.78,0.1,0.02,0.04,12.71,68.38,0.19,2.54,0.25,16.6,0.001,0.075,496.42,0.001,0.001,0.01,0.01,37.63,0.002,0.13
SPC,SPC5,2022,Spring,10.4,8.08,12.3,444,337,88.7,173.5,0.24,0.005,0.005,0.11,0.005,1.1,5.41,139.48,0,108.17,24.62,16.36,2.22,42.57,29.47,10.64,0.13,0.03,0.05,36.4,45.5,0.19,3.22,0.3,18.52,0.001,0.075,540.23,0.001,0.001,0.01,0.01,37.82,0.002,0.15
SPC,SPC6,2022,Spring,10.2,8.08,12.3,440,334,86.4,173.4,0.27,0.005,0.005,0.13,0.005,0.89,5.63,143.39,0,105.41,25.74,16.77,2.21,41.85,32.4,11.37,0.1,0.03,0.06,14.93,44.21,0.3,4.79,0.28,22.78,0.001,0.075,562.21,0.001,0.001,0.02,0.01,35.29,0.002,0.15
SPC,SPC7,2022,Spring,10.7,7.96,11,403,296,91.6,147.9,0.28,0.005,0.005,0.16,0.005,0.98,5.12,114.27,0,111.8,25.95,13.9,1.99,36.38,24.82,3.42,0.15,0.03,0.05,41.43,26.19,0.11,1.03,0.31,73.43,0.001,0.075,495.49,0.001,0.001,0.01,0.01,36.56,0.002,0.16
SPC,SPC8,2022,Spring,10.6,7.74,10.5,427,309,98.5,160.7,0.28,0.01,0.005,0.18,0.005,0.95,5.59,127.36,0,120.19,29.97,15.36,2.05,39.1,29.77,1.6,0.11,0.03,0.06,26.37,51.09,0.15,1.23,0.21,15.35,0.001,0.075,553.07,0.001,0.001,0.005,0.01,36.96,0.002,0.17
SPC,SPC8DS,2022,Spring,10.6,7.77,10.6,410,298,93,145.8,0.28,0.005,0.005,0.18,0.005,0.96,5.12,115.21,0,113.51,26.3,13.47,2.36,36.25,25.5,21.41,0.66,0.07,0.43,9954.12,74.73,0.43,2.38,3.92,2323.32,0.001,0.075,502.11,0.001,0.01,0.03,0.01,37.73,0.05,0.21
SPC,SPCT2,2022,Spring,9.6,8.12,8.8,85,58,34.4,24.1,0.51,0.005,0.005,0.41,0.005,0.69,1.6,10.67,0,41.92,2.22,2.17,1.07,6.08,0.21,2.17,0.09,0.005,0.06,126.28,17.9,0.04,0.26,0.07,23.71,0.001,0.075,26.97,0.001,0.001,0.005,0.01,16.27,0.002,0.01
SPC,SPCT3,2022,Spring,9.2,8.31,10.6,148,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC,SPCT4,2022,Spring,10.4,7.81,9.6,110,78,35.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
