Stream,Site,sample.year,season,do.mgl,ph,temp.C,sc.uScm,ac.uScm,alkalinity.mgl,hardness.mgl,tn.mgl,tp.mgl,nh3-n.mgl,no2no3-n.mgl,ortho.po4-p.mgl,npoc.mgl,cl.mgl,so4.mgl,co3.mgl,hco3.mgl,na.mgl,mg.mgl,k.mgl,ca.mgl,li.ugl,al.ugl,ti.ugl,v.ugl,cr.ugl,fe.ugl,mn.ugl,co.ugl,ni.ugl,cu.ugl,zn.ugl,as.ugl,se.ugl,sr.ugl,mo.ugl,ag.ugl,cd.ugl,sn.ugl,ba.ugl,pb.ugl,u.ugl
EAS,EAS1,2021,Fall,8.1,8.67,12.2,24,19,15.6,10.3,0.36,0.01,0.005,0.24,0.005,0.58,0.23,2.41,0,18.99,0.62,0.7,0.4,2.97,0.27,4.52,0.13,0.09,0.15,0.285,0.43,0.01,0.005,0.025,4.25,0.001,1.01,13.89,0.001,0.001,0.005,0.01,13.5,0.002,0.01
EAS,EAS2,2021,Fall,8.3,7.8,12.2,25,19,15.5,10.3,0.33,0.005,0.005,0.24,0.005,0.49,0.23,2.4,0,18.91,0.6,0.68,0.38,2.99,0.29,4.67,0.13,0.13,0.15,0.285,0.27,0.01,0.005,0.025,4.44,0.001,0.19,13.81,0.001,0.001,0.005,0.01,12.92,0.002,0.01
EAS,EAS3,2021,Fall,8,7.39,12.8,21,16,11.5,8.4,0.39,0.01,0.005,0.27,0.005,0.53,0.22,2.29,0,14.05,0.54,0.64,0.4,2.3,0.29,4.99,0.16,0.12,0.13,0.285,0.34,0.01,0.005,0.025,3.92,0.001,0.8,11.42,0.001,0.001,0.005,0.01,12.66,0.002,0.0005
EAS,EAS4,2021,Fall,7.7,7.17,13,20,16,11.3,7.9,0.37,0.005,0.02,0.27,0.005,0.62,0.22,2.22,0,13.83,0.52,0.63,0.4,2.13,0.28,5.35,0.13,0.1,0.18,0.285,0.22,0.01,0.005,0.025,3.71,0.001,0.51,10.96,0.001,0.001,0.005,0.01,13.15,0.002,0.0005
EAS,EAS5,2021,Fall,7.4,7.2,13,19,15,10.5,7.2,0.38,0.01,0.01,0.25,0.005,0.64,0.25,2.19,0,12.76,0.53,0.59,0.43,1.92,0.31,6.36,0.13,0.1,0.19,0.285,0.49,0.01,0.005,0.025,4.61,0.001,0.5,10.5,0.001,0.001,0.005,0.01,12.85,0.002,0.0005
EAS,EAS6,2021,Fall,8,7.09,12.7,18,14,9.6,6.8,0.49,0.04,0.01,0.21,0.005,0.64,0.23,2.24,0,11.72,0.52,0.57,0.37,1.78,0.27,6.96,0.14,0.08,0.15,0.285,0.37,0.01,0.005,0.025,3.15,0.001,0.26,10.04,0.001,0.001,0.005,0.01,11.83,0.002,0.0005
EAS,EAS7,2021,Fall,7.8,6.86,12.8,16,12,8.5,5.9,0.3,0.01,0.01,0.18,0.005,0.68,0.23,2.01,0,10.41,0.52,0.55,0.36,1.46,0.31,7.38,0.13,0.06,0.16,0.285,0.6,0.01,0.005,0.025,3.27,0.001,0.22,8.92,0.001,0.001,0.005,0.01,11.01,0.002,0.0005
EAS,EAS8,2021,Fall,8,6.73,12.6,15,11,7.3,5.2,0.36,0.02,0.01,0.17,0.005,0.67,0.26,1.95,0,8.94,0.49,0.55,0.36,1.19,0.3,8.54,0.13,0.06,0.17,0.285,0.89,0.01,0.005,0.025,4.05,0.001,0.075,8.15,0.001,0.001,0.005,0.01,10.51,0.002,0.0005
EAS,EAST1,2021,Fall,6.8,7.38,14.1,15,12,5.8,4.6,0.39,0.04,0.005,0.03,0.005,0.63,0.33,2.6,0,7.05,0.53,0.54,0.33,0.94,0.34,7.24,0.22,0.14,0.15,0.285,23.75,0.15,0.15,0.025,5.93,0.001,0.46,6.96,0.001,0.001,0.01,0.01,11.78,0.002,0.0005
FRY,FRY0,2021,Fall,7.1,7.24,12.4,460,350,115.7,194.6,0.39,0.02,0.02,0.26,0.01,1.34,10.3,116.29,0,141.18,25.49,20.08,2.31,44.91,4.75,3.59,0.33,0.18,0.27,0.285,16.75,0.07,0.22,0.28,4.06,0.1,0.075,501.45,0.001,0.001,0.005,0.01,65.26,0.002,0.38
FRY,FRY1,2021,Fall,8.3,7.58,12.6,468,358,112.1,201.1,0.41,0.02,0.01,0.28,0.01,1.27,10.63,120.87,0,136.76,24.47,20.98,2.37,46.02,4,3.32,0.24,0.18,0.11,0.285,0.35,0.05,0.21,0.25,3.98,0.07,0.19,506.01,0.001,0.001,0.005,0.01,61.58,0.002,0.41
FRY,FRY2,2021,Fall,8.3,7.75,13,480,370,114.1,214.7,0.37,0.01,0.005,0.27,0.01,1.23,10.49,125.74,0,139.2,26.35,22.35,2.49,49.24,4.31,3.61,0.25,0.18,0.13,0.285,0.27,0.06,0.19,0.13,5.51,0.08,1.01,530.73,0.001,0.001,0.005,0.01,63.69,0.002,0.4
FRY,FRY3,2021,Fall,7.4,7.92,13.3,473,368,111.5,213.5,0.39,0.02,0.01,0.54,0.01,1.18,10.76,124.01,0,136.03,24.82,22.1,2.47,49.18,3.7,4.05,0.29,0.2,0.19,0.285,0.82,0.06,0.24,0.15,14.53,0.09,0.57,477.58,0.001,0.001,0.005,0.01,64.88,0.002,0.38
FRY,FRY4,2021,Fall,8,7.92,13.7,490,385,114.4,219.2,0.45,0.02,0.02,0.28,0.01,1.37,10.7,131.51,0,139.59,25.12,22.74,2.47,50.4,4.17,4.38,0.3,0.18,0.16,0.285,0.9,0.06,0.24,0.18,4.71,0.08,0.075,502.48,0.001,0.001,0.005,0.01,65.37,0.002,0.38
FRY,FRY5,2021,Fall,8.3,7.91,13.9,509,400,113.7,230.9,0.4,0.02,0.005,0.29,0.01,1.16,10.8,142.41,0,138.71,25.85,23.93,2.51,53.1,5.37,4.15,0.32,0.17,0.15,0.285,1.58,0.06,0.26,0.19,3.88,0.05,0.075,538.7,0.001,0.001,0.005,0.01,64.4,0.002,0.39
FRY,FRY6,2021,Fall,7.2,7.95,14.2,528,420,104.8,255.7,0.41,0.02,0.02,0.3,0.01,1.21,11.6,162.03,0,127.86,20.75,26.97,2.63,58.04,6.4,4.27,0.28,0.18,0.13,0.285,0.51,0.07,0.31,0.13,4.61,0.03,0.2,576.53,0.001,0.001,0.005,0.01,62.43,0.002,0.36
FRY,FRY7,2021,Fall,7.1,7.93,14.9,272,219,83.1,99.8,0.52,0.02,0.01,0.4,0.01,1.15,26.53,13.12,0,101.33,22.25,8.9,1.99,25.34,0.55,3.98,0.35,0.47,0.15,0.285,0.3,0.04,0.06,0.16,7.42,0.05,0.075,159.12,0.001,0.001,0.005,0.01,62.23,0.002,0.07
FRY,FRYT1,2021,Fall,7.6,7.94,15,499,405,211.5,133.9,0.29,0.03,0.005,0.18,0.01,1.05,1.14,65.93,0,258.05,78.87,12.24,2.02,33.5,20.1,5.43,0.35,0.14,0.22,0.285,0.15,0.04,0.09,0.1,5.03,0.07,0.22,731.78,0.001,0.001,0.005,0.01,67.25,0.002,0.75
FRY,FRYT2,2021,Fall,8.1,7.79,14.3,795,634,149,413.5,0.35,0.01,0.01,0.25,0.005,1.23,3.83,292.49,0,181.73,29.64,43.98,3.42,93.28,19.58,3.59,0.27,0.06,0.15,0.285,0.56,0.1,0.62,0.19,4.71,0.03,0.075,1236.97,0.001,0.001,0.005,0.01,44.85,0.002,0.75
FRY,FRYT3,2021,Fall,8,7.96,14.5,507,406,77.8,259.1,0.47,0.02,0.005,0.29,0.01,1.19,3.92,185.19,0,94.96,10.41,28.66,2.66,56.63,1.8,6.86,0.3,0.06,0.14,0.285,1.03,0.07,0.31,0.18,4.03,0.001,0.075,366.48,0.001,0.001,0.005,0.01,58.3,0.002,0.18
LLW,LLW1,2021,Fall,9.9,8.35,12.8,1242,954,139.3,794.8,0.45,0.01,0.02,0.23,0.01,1.19,1.05,598.14,0,169.99,12.34,104.76,5.89,146.11,19.56,6.09,0.22,0.04,0.13,0.285,2.52,0.14,1.11,0.49,19.04,0.01,3.39,2818.87,0.001,0.001,0.01,0.01,80.93,0.002,1.78
LLW,LLW2,2021,Fall,9.6,8.07,13.4,1259,982,142.4,826.6,0.35,0.01,0.02,0.24,0.01,1.16,1.04,610.62,0,173.73,12.88,108.97,6.22,151.92,21.76,6.65,0.19,0.07,0.13,0.285,1.15,0.14,1.18,0.52,17.98,0.04,5.26,2933.03,0.001,0.001,0.01,0.01,75.62,0.002,1.73
LLW,LLW3,2021,Fall,9,8.14,13.6,1307,1025,152.2,876.1,0.32,0.005,0.005,0.21,0.005,1.19,1.07,628.89,0,185.71,12.8,115.39,6.72,161.18,25.51,6.61,0.19,0.04,0.18,0.285,1.72,0.16,1.47,0.55,21.87,0.03,5.04,3018.87,0.001,0.001,0.01,0.01,67.55,0.002,1.8
LLW,LLW4,2021,Fall,9.2,7.97,14.5,1323,1059,156.2,882.5,0.32,0.01,0.005,0.29,0.005,1.1,1.19,640,0,190.61,12.92,116.44,6.84,162.05,27.95,6.35,0.19,0.02,0.17,0.285,1.45,0.16,1.88,0.52,16.51,0.001,4.34,3061.78,0.001,0.001,0.01,0.01,61.8,0.002,1.76
LLW,LLW5,2021,Fall,8.9,8.03,15,1501,1217,196.1,1057.2,0.41,0.005,0.005,0.18,0.005,1.34,1.45,783.6,0,239.24,12.92,147.88,9.1,180.37,10.28,4.93,0.18,0.04,0.23,0.285,1.39,0.17,1.18,0.69,15.2,0.01,2.81,2782.99,0.001,0.001,0.005,0.01,61.92,0.002,2.71
LLW,LLW6,2021,Fall,8.6,7.97,15.6,1880,1543,300.1,1395,0.35,0.005,0.01,0.17,0.005,1.42,1.69,909.22,0,366.1,13.89,197.04,12.2,234.85,14.76,2.04,0.16,-0.02,0.19,0.285,12.25,0.26,2.22,0.93,16.24,0.01,2.25,3346.91,0.001,0.001,0.005,0.01,37.05,0.002,4.42
