"","RDA1","PC1"
"row1",-0.443080282576545,-0.213454419494897
"row2",-0.316856824360012,-0.270553172268711
"row3",-0.215869529225182,0.304457142387686
"row4",-0.0996906084878227,0.61245606691912
"row5",0.298238236688986,0.0744504356533525
"row6",0.777259007960576,-0.50735605319655
