Stream,Stream_Type,dist.d,Site,Season,totind,Hshannon,Hsimpson,rich,J,rich.E,rich.P,rich.T,rich.C,rich.D,rich.less.E,rich.EPT,rich.T.less.H,pT.less.H,rich.EPT.less.H,pEPT.less.H,pEPT,pEPT.less.Cheum,pEPT.less.HBL,rich.PT,pE,rich.E.less.B,pE.less.B,pP,pP.less.Leuc,pP.less.Amph,pP.less.Allo,pP.less.LAA,pT,pPT.H,pChi,pD,pOligo,pChiO,p1dom,p2dom,p5dom,rich.SH,rich.CG,rich.SC,rich.SC.less.E,rich.CF,rich.PR,pSH,pCG,pSC,pSC.less.E,pCF,pPR,rich.Cling,pCling,rich.Burrow,pBurrow,rich.Sprawl,pSprawl,rich.Swimm,pSwimm,rich.INT,rich.TOL,pTOL,do.mgl,ph,temp.C,sc.uScm,ac.uScm,alkalinity.mgl,hardness.mgl,tn.mgl,tp.mgl,nh3.n.mgl,no2no3.n.mgl,ortho.po4.p.mgl,npoc.mgl,cl.mgl,so4.mgl,co3.mgl,hco3.mgl,na.mgl,mg.mgl,k.mgl,ca.mgl,li.ugl,al.ugl,ti.ugl,v.ugl,cr.ugl,fe.ugl,mn.ugl,co.ugl,ni.ugl,cu.ugl,zn.ugl,as.ugl,se.ugl,sr.ugl,mo.ugl,ag.ugl,cd.ugl,sn.ugl,ba.ugl,pb.ugl,u.ugl,ca.mg,so4.hco3,fines,largecobble,pebbles,smallcobble,pfines,ppebbles,psmallcobble,plargecobble,LCF,SCF,D10,D16,D25,D50,D75,D84,D90,D84to50,IQR,Hsimpson.y,avgwetwidth,avgdepth,avgembedd,avgbankstabL,avgbankstaR,avgriparianwidL,avgriparianwidR,avgvegprotecL,avgvegprotecR,avgcancov,avg.slope
FRY (MI),Mining Influenced 1,340,FRY6,Fall,200,2.456839373,0.8553,23,0.783557297,0,6,8,5,2,23,14,5,15,11,30.5,77,65,30.5,14,0,0,0,15.5,15.5,15.5,15.5,15.5,61.5,30.5,1.5,6,2,3.5,20,34.5,67.5,4,3,6,6,4,6,18,5,15,15,48.5,13.5,17,78.5,4,9,2,12.5,0,0,11,0,0,7.2,7.95,14.2,528,420,104.8,255.7,0.41,0.02,0.02,0.3,0.01,1.21,11.6,162.03,0,127.86,20.75,26.97,2.63,58.04,6.4,4.27,0.28,0.18,0.13,0.285,0.51,0.07,0.31,0.13,4.61,0.03,0.2,576.53,0.001,0.001,0.005,0.01,62.43,0.002,0.36,2.152020764,1.267245425,5,7,72,12,5.208333333,75,12.5,7.291666667,1.4,2.4,4,5.6,8,16,64,90,128,5.625,56,0.914713542,3.25,3.586666667,11.33333333,5.666666667,6.666666667,10,10,10,10,88.24666667,6
FRY (MI),Mining Influenced 1,0,FRY7,Fall,219,2.192395559,0.767248389,27,0.665201479,3,6,8,3,3,24,17,5,9.589041096,14,26.02739726,83.10502283,73.51598174,25.57077626,14,3.2,2,2.7,13.2,13.2,13.2,13.2,13.2,66.7,22.8,1.4,3.2,0.9,2.283105023,18.3,31.5,61.6,4,3,6,4,5,8,11.9,2.7,13.7,11,58.9,11,19,83.6,4,4.6,2,9.6,1,0.5,14,0,0,7.1,7.93,14.9,272,219,83.1,99.8,0.52,0.02,0.01,0.4,0.01,1.15,26.53,13.12,0,101.33,22.25,8.9,1.99,25.34,0.55,3.98,0.35,0.47,0.15,0.285,0.3,0.04,0.06,0.16,7.42,0.05,0.075,159.12,0.001,0.001,0.005,0.01,62.23,0.002,0.07,2.847191011,0.129477943,4,10,72,19,3.80952381,68.57142857,18.0952381,9.523809524,2.5,4.75,5.6,8,11,32,90,128,128,4,79,0.913560091,1.85,2.866666667,9.666666667,9,7.333333333,10,10,10,10,79.28,5
LLW (MI),Mining Influenced 2,1950,LLW1,Fall,216,2.706368135,0.908693416,24,0.851580332,0,5,7,5,6,24,12,3,5.555555556,8,25.92592593,53.7037037,49.53703704,12.5,12,0,0,0,20.4,6.9,20.4,17.1,3.7,33.3,25.9,6.9,12,0,6.944444444,18.5,31.9,62.5,4,1,6,6,6,7,18.1,6.9,32.9,32.9,33.3,8.8,17,87,3,9.3,4,3.7,0,0,9,1,1.85185,9.9,8.35,12.8,1242,954,139.3,794.8,0.45,0.01,0.02,0.23,0.01,1.19,1.05,598.14,0,169.99,12.34,104.76,5.89,146.11,19.56,6.09,0.22,0.04,0.13,0.285,2.52,0.14,1.11,0.49,19.04,0.01,3.39,2818.87,0.001,0.001,0.01,0.01,80.93,0.002,1.78,1.394711722,3.518677569,5,8,72,24,4.587155963,66.05504587,22.01834862,7.339449541,1.6,4.8,8,11,16,45,90,128,128,2.844444444,74,0.900765929,2.233333333,5.5,16.66666667,4.333333333,5.333333333,2,5.666666667,6,7.666666667,91.6,4
LLW (MI),Mining Influenced 2,1400,LLW2,Fall,201,2.612150524,0.882205886,28,0.783910626,2,5,6,4,9,26,13,2,2.487562189,9,24.37810945,61.69154229,55.2238806,6.467661692,11,2,1,1,19.9,3,19.9,18.9,2,39.8,22.4,7,12.9,2.5,9.452736318,19.9,34.3,67.2,6,5,6,6,5,6,20.4,11.9,21.9,21.9,38.8,7,16,82.6,9,14.9,2,1.5,1,1,13,2,1.99005,9.6,8.07,13.4,1259,982,142.4,826.6,0.35,0.01,0.02,0.24,0.01,1.16,1.04,610.62,0,173.73,12.88,108.97,6.22,151.92,21.76,6.65,0.19,0.07,0.13,0.285,1.15,0.14,1.18,0.52,17.98,0.04,5.26,2933.03,0.001,0.001,0.01,0.01,75.62,0.002,1.73,1.394145178,3.514764289,7,9,52,30,7.142857143,53.06122449,30.6122449,9.183673469,1.285714286,4.285714286,5.6,9.56,11,64,90,128,128,2,79,0.895251978,2.033333333,5.393333333,15.66666667,7,6.666666667,10,3.333333333,10,6.666666667,91.4,2.75
LLW (MI),Mining Influenced 2,1140,LLW3,Fall,218,2.394487241,0.821942597,27,0.726518738,2,5,5,5,8,25,12,1,1.376146789,8,17.88990826,65.59633028,59.63302752,4.587155963,10,2.3,0,0,14.2,3.2,14.2,13.3,2.3,49.1,15.6,5.5,12.4,0.9,6.422018349,18.3,31.7,61.9,5,3,7,6,6,6,15.1,7.3,22.5,21.1,50.5,4.6,18,88.1,5,9.2,3,1.8,1,0.9,11,1,1.83486,9,8.14,13.6,1307,1025,152.2,876.1,0.32,0.005,0.005,0.21,0.005,1.19,1.07,628.89,0,185.71,12.8,115.39,6.72,161.18,25.51,6.61,0.19,0.04,0.18,0.285,1.72,0.16,1.47,0.55,21.87,0.03,5.04,3018.87,0.001,0.001,0.01,0.01,67.55,0.002,1.8,1.396828148,3.386408917,9,6,63,23,8.910891089,62.37623762,22.77227723,5.940594059,0.666666667,2.555555556,5.6,11,16,45,90,128,128,2.844444444,74,0.897363004,2.266666667,8.54,15,5,6.333333333,10,5.333333333,10,7.666666667,91.32,11.25
LLW (MI),Mining Influenced 2,640,LLW4,Fall,230,2.431872498,0.878336484,22,0.786748333,1,3,5,4,7,21,9,2,5.652173913,6,31.73913043,61.73913043,56.95652174,6.52173913,8,20.9,0,0,5.2,0.9,5.2,4.8,0.4,35.7,10.9,5.7,9.6,0.9,6.52173913,17.4,30,58.7,4,3,5,5,5,5,7,27.4,27.8,27.8,32.6,5.2,14,69.1,5,9.1,2,0.9,1,20.9,8,1,0.43478,9.2,7.97,14.5,1323,1059,156.2,882.5,0.32,0.01,0.005,0.29,0.005,1.1,1.19,640,0,190.61,12.92,116.44,6.84,162.05,27.95,6.35,0.19,0.02,0.17,0.285,1.45,0.16,1.88,0.52,16.51,0.001,4.34,3061.78,0.001,0.001,0.01,0.01,61.8,0.002,1.76,1.391703882,3.357641257,5,13,67,29,4.385964912,58.77192982,25.43859649,11.40350877,2.6,5.8,5.6,11,11,45,90,128,180,2.844444444,79,0.907663897,1.566666667,5.28,13,8.666666667,8.333333333,10,4,10,7.333333333,83.4,5.5
LLW (MI),Mining Influenced 2,390,LLW5,Fall,200,1.958054932,0.76865,17,0.691107479,0,3,5,1,6,17,8,2,2.5,5,7.5,54.5,50.5,7.5,8,0,0,0,5,5,5,4,4,49.5,7.5,9,26,1.5,10.5,20,34.5,67.5,4,3,3,3,4,3,15,13.5,18,18,49.5,4,9,73,5,22.5,2,1.5,1,3,6,1,2.5,8.9,8.03,15,1501,1217,196.1,1057.2,0.41,0.005,0.005,0.18,0.005,1.34,1.45,783.6,0,239.24,12.92,147.88,9.1,180.37,10.28,4.93,0.18,0.04,0.23,0.285,1.39,0.17,1.18,0.69,15.2,0.01,2.81,2782.99,0.001,0.001,0.005,0.01,61.92,0.002,2.71,1.219705166,3.275372011,5,7,79,13,4.807692308,75.96153846,12.5,6.730769231,1.4,2.6,5.6,8,11,22.6,45,90,116.6,3.982300885,34,0.909763314,1.8,3.7,13.66666667,9,7.666666667,10,10,10,10,87.11666667,6.5
LLW (MI),Mining Influenced 2,0,LLW6,Fall,213,1.747967212,0.723621856,20,0.58348579,1,3,6,2,6,19,10,3,4.225352113,7,7.042253521,39.90610329,36.15023474,7.042253521,9,0.5,1,0.5,2.3,2.3,2.3,1.9,1.9,37.1,6.6,9.4,55.9,2.8,12.20657277,18.8,32.4,63.4,3,4,3,2,6,4,44.1,13.1,1.4,0.9,35.7,5.6,12,42.3,4,55.9,2,0.9,2,0.9,8,1,1.87793,8.6,7.97,15.6,1880,1543,300.1,1395,0.35,0.005,0.01,0.17,0.005,1.42,1.69,909.22,0,366.1,13.89,197.04,12.2,234.85,14.76,2.04,0.16,-0.02,0.19,0.285,12.25,0.26,2.22,0.93,16.24,0.01,2.25,3346.91,0.001,0.001,0.005,0.01,37.05,0.002,4.42,1.191889972,2.48352909,0,11,64,27,0,62.74509804,26.47058824,10.78431373,Inf,Inf,11,11,22.6,45,90,128,174.8,2.844444444,67.4,0.899653979,1.333333333,4.026666667,11.33333333,0.666666667,0.333333333,10,10,10,10,87.71666667,16
ROL (MI),Mining Influenced 3,1295,ROL1,Fall,198,1.991655968,0.750025508,20,0.664831095,3,4,3,4,4,17,10,1,1.515151515,8,18.18181818,65.65656566,65.65656566,8.585858586,7,3,3,3,13.6,4,13.6,13.6,4,49,15.2,6.1,19.2,1,7.070707071,20.2,34.8,68.2,3,3,7,4,3,4,23.2,7.6,17.7,14.6,49,2.5,13,76.8,5,20.2,1,2.5,1,0.5,11,0,0,NA,6.65,11.9,501,377,110.7,216.1,0.27,0.01,0.01,0.14,0.005,1.2,1.01,158.48,0,135.03,21.66,22.23,2.24,50,11.54,2.58,0.41,0.04,0.12,0.285,2.79,0.06,0.36,0.13,4.22,0.03,0.075,711.17,0.001,0.001,0.01,0.01,49.62,0.01,0.25,2.249212776,1.173665111,2,6,50,18,2.631578947,65.78947368,23.68421053,7.894736842,3,9,8,11,11,38.5,90,128,128,3.324675325,79,0.889542936,2.533333333,5.74,17,5.666666667,6.333333333,10,10,10,10,84.35,11.5
ROL (MI),Mining Influenced 3,1155,ROL2,Fall,209,2.269844291,0.830750212,20,0.757692639,1,4,6,3,4,19,11,3,7.177033493,8,16.74641148,62.20095694,53.11004785,11.96172249,10,1.9,1,1.9,7.7,2.9,7.7,7.7,2.9,52.6,14.8,1.9,10,8.1,10.04784689,19.1,33,64.6,3,3,5,4,4,5,13.4,10.5,25.8,23.9,45.9,4.3,13,79.4,4,17.2,3,3.3,0,0,9,1,0.47847,7.6,7.74,12.8,633,487,96.5,301.1,0.33,0.02,0.005,0.18,0.01,0.02,1.25,245.33,0,117.68,17.57,33.06,2.66,66.2,5.39,3.29,0.35,0.03,0.1,0.285,1.56,0.08,1.68,0.23,4.75,0.02,0.075,633.29,0.001,0.001,0.01,0.01,50.44,0.002,0.37,2.002419843,2.084721278,2,7,61,17,2.298850575,70.11494253,19.54022989,8.045977011,3.5,8.5,5.6,8,11,32,90,128,128,4,79,0.912934337,3.266666667,4.393333333,16.33333333,6.333333333,6.666666667,10,10,10,10,86.35333333,3
ROL (MI),Mining Influenced 3,955,ROL3,Fall,220,2.66395825,0.893429752,27,0.808279766,3,7,5,6,3,24,15,3,4.545454545,13,17.27272727,45.90909091,41.36363636,11.36363636,12,1.8,3,1.8,10.9,5,10.9,10,4.1,33.2,15.5,3.2,18.2,8.6,11.81818182,18.2,31.4,61.4,6,3,8,5,3,7,23.2,20.5,16.4,14.5,30.5,9.5,18,65.9,5,30.5,3,3.2,1,0.5,13,0,0,7.1,7.83,13.5,804,629,99,400,0.34,0.02,0.005,0.15,0.005,1.6,1.59,336.59,0,120.73,17.73,44.73,3.09,86.66,4.85,3.22,0.28,0.01,0.12,0.285,3.67,0.1,0.66,0.3,4.48,0.01,0.075,746.12,0.001,0.001,0.01,0.01,54.39,0.002,0.49,1.937402191,2.787956597,1,6,54,23,1.19047619,64.28571429,27.38095238,7.142857143,6,23,8,11,16,32,90,128,128,4,74,0.895408163,1.716666667,5.746666667,16.66666667,7.666666667,9.333333333,10,10,10,10,89.03,3.5
ROL (MI),Mining Influenced 3,560,ROL4,Fall,210,2.395631491,0.852290249,25,0.744244768,1,7,5,2,8,24,13,3,7.619047619,11,21.9047619,53.80952381,53.80952381,17.14285714,12,0.5,1,0.5,13.8,9,13.8,13.3,8.6,39.5,21.4,12.4,24.3,12.4,24.76190476,19,32.9,64.3,4,3,5,4,3,10,16.7,26.2,13.3,12.9,32.9,11,14,56.7,6,37.1,4,4.8,1,1.4,13,0,0,7.4,7.84,13.3,886,689,98.4,493.9,0.38,0.01,0.005,0.23,0.01,1.44,1.88,428.79,0,120.05,19.87,55.76,3.52,106.1,6.44,3.34,0.31,0.04,0.13,0.285,1.14,0.11,0.81,0.39,3.92,0.07,0.075,870.91,0.001,0.001,0.01,0.01,57.6,0.002,0.69,1.902797704,3.571761766,4,6,64,14,4.545454545,72.72727273,15.90909091,6.818181818,1.5,3.5,5.6,8,10.25,27.3,64,128,128,4.688644689,53.75,0.903409091,1.5,3.146666667,15,8.333333333,8,10,10,10,10,79.55,6.5
ROL (MI),Mining Influenced 3,250,ROL5,Fall,198,2.225415566,0.818794001,22,0.719956325,0,6,6,3,4,22,12,4,11.11111111,10,21.21212121,59.09090909,59.09090909,19.19191919,12,0,0,0,10.1,8.1,10.1,9.1,7.1,49,21.2,9.1,18.7,14.6,23.73737374,20.2,34.8,68.2,4,3,3,3,4,8,14.1,24.7,14.6,14.6,38.9,7.6,14,61.6,5,33.3,3,5.1,0,0,12,0,0,7.8,7.93,14.1,1029,817,103.1,551.2,0.34,0.01,0.01,0.21,0.01,1.28,2.05,476.95,0,125.78,20.72,62.32,3.79,118.26,8.81,3.34,0.33,0.05,0.11,0.285,1.43,0.12,0.9,0.4,3.55,0.05,0.075,963.06,0.001,0.001,0.01,0.01,53.34,0.002,0.67,1.89762516,3.791938305,5,5,56,18,5.952380952,66.66666667,21.42857143,5.952380952,1,3.6,4,8,11,22.6,90,128,128,5.663716814,79,0.905612245,0.693333333,2.026666667,12.33333333,5.666666667,6.333333333,10,10,10,10,68.37666667,6.33
ROL (MI),Mining Influenced 3,0,ROL6,Fall,194,2.195912313,0.832075672,19,0.745782925,0,6,4,2,5,19,10,2,11.8556701,8,30.41237113,67.5257732,63.91752577,28.35051546,10,0,0,0,18.6,16.5,18.6,15.5,13.4,49,30.4,14.9,26.3,0.5,15.46391753,20.6,35.6,69.6,5,3,4,4,2,5,25.3,16,17,17,37.1,4.6,10,60.8,6,26.8,3,12.4,0,0,7,0,0,6.4,7.96,13.7,1298,1019,110.6,788.7,0.59,0.03,0.005,0.35,0.01,1.49,3.83,649.6,0,134.98,10.2,94.36,4.93,160.71,3.62,3.71,0.25,0.07,0.18,23.46,25.5,0.19,1.33,0.67,4.33,0.13,0.075,837.5,0.001,0.001,0.01,0.01,52.8,0.002,1.39,1.703158118,4.812564824,4,8,46,7,6.153846154,70.76923077,10.76923077,12.30769231,2,1.75,4.64,8,11,32,64,128,180,4,53,0.911242604,0.866666667,1.446666667,10,8.333333333,7,10,10,10,10,78.33333333,10.25
SPC (MI),Mining Influenced 4,2556,SPC1,Fall,205,2.531279107,0.876430696,26,0.776919615,5,4,9,3,2,21,18,6,9.756097561,15,39.51219512,83.90243902,64.3902439,36.58536585,13,8.8,4,8.3,21,18.5,21,5.4,2.9,54.1,30.7,3.9,5.4,0.5,4.390243902,19.5,33.7,65.9,4,3,8,5,6,5,20.5,4.9,16.1,8.8,47.8,10.7,19,91.2,4,6.3,1,1,2,1.5,16,0,0,9.5,8.57,12.5,501,382,171,165.6,0.25,0.04,0.02,0.12,0.03,1.25,5.21,95.69,0,208.57,62.21,15.08,2.15,41.53,21.07,4.98,0.3,0.11,0.09,7.05,2.52,0.06,0.52,0.025,3.6,0.32,1.41,410.89,0.001,0.001,0.005,0.01,70.6,0.002,0.23,2.75397878,0.458790814,8,15,42,28,8.602150538,45.16129032,30.10752688,16.12903226,1.875,3.5,2.8,8,11,64,128,166.48,180,2.60125,117,0.893976182,2.333333333,6.76,10.66666667,6,7,9,9,9,9,76.47666667,3.5
SPC (MI),Mining Influenced 4,2167,SPC2,Fall,219,2.942515995,0.921040012,31,0.856880303,5,6,8,5,5,26,19,5,18.26484018,16,44.74885845,70.77625571,49.7716895,42.00913242,14,17.4,4,15.1,9.1,8.7,9.1,4.1,3.7,44.3,27.4,6.8,11.4,0.5,7.305936073,18.3,31.5,61.6,6,4,8,5,6,7,11,10.5,30.6,16.4,33.8,14.2,22,83.1,3,9.6,5,5,1,2.3,17,0,0,8.8,8.09,12.6,516,394,170.9,185.4,0.3,0.04,0.02,0.11,0.02,1.28,5.32,104.72,0,208.55,61.65,16.79,2.3,46.63,24.02,4.43,0.45,0.2,0.14,21.64,39.14,0.12,0.55,0.025,4.14,0.41,2.63,467.98,0.23,0.02,0.02,0.01,76.29,0.002,0.28,2.777248362,0.502133781,7,9,45,30,7.692307692,49.45054945,32.96703297,9.89010989,1.285714286,4.285714286,2.8,5.6,9.5,64,128,128,128,2,118.5,0.896510083,3.95,5.12,11,3,10,6.333333333,10,8.666666667,10,74.68666667,3
SPC (MI),Mining Influenced 4,1793,SPC3,Fall,198,2.795458202,0.906029997,31,0.814056091,6,5,9,4,5,25,20,6,16.16161616,17,38.88888889,74.74747475,60.1010101,35.35353535,14,12.1,4,9.6,10.6,9.6,10.6,5.1,4,52,26.8,1.5,12.6,1,2.525252525,20.2,34.8,68.2,6,5,8,5,6,6,19.7,6.1,19.2,10.6,37.9,17.2,21,80.8,4,12.6,4,4,2,2.5,17,0,0,9.1,8.06,12.9,535,412,143.9,232.5,0.23,0.005,0.005,0.11,0.005,1.33,5.84,138.55,0,175.53,41.07,21.47,2.69,57.81,25.6,3.54,0.29,0.07,0.11,10.21,30.93,0.13,0.76,0.05,4.69,0.15,0.99,590.9,0.001,0.001,0.005,0.01,63.95,0.002,0.3,2.692594318,0.789323762,5,10,64,25,4.807692308,61.53846154,24.03846154,9.615384615,2,5,3.16,6.752,11,64,90,128,128,2,79,0.905695266,3.683333333,3.706666667,13.66666667,3.666666667,6,8.333333333,6,10,9.666666667,90.99,1.25
SPC (MI),Mining Influenced 4,1294,SPC4,Fall,228,2.697437358,0.880193906,32,0.7783159,5,5,9,6,4,27,19,6,9.210526316,16,37.71929825,78.07017544,49.12280702,34.21052632,14,16.2,4,13.2,12.3,11.8,12.3,2.6,2.2,49.6,21.5,6.1,7.5,1.3,7.456140351,17.5,30.3,59.2,6,5,10,7,6,5,12.7,11.8,23.2,10.5,45.6,6.6,21,85.1,4,8.3,6,3.5,1,3.1,18,0,0,9.1,7.61,14.2,579,460,145.5,248.6,0.31,0.01,0.02,0.08,0.005,1.35,6.22,160.58,0,177.51,41.85,23.63,2.81,60.66,31.36,4,0.27,0.05,0.07,18.04,87.2,0.18,1.25,0.09,24.94,0.16,0.41,677.38,0.001,0.001,0.005,0.01,63.54,0.002,0.35,2.567075751,0.904625092,10,13,59,33,8.695652174,51.30434783,28.69565217,11.30434783,1.3,3.3,2.8,8,16,45,128,128,180,2.844444444,112,0.896786389,2.633333333,3.486666667,12.66666667,5.666666667,4.666666667,7,5.333333333,9.666666667,9.666666667,71.48666667,1.75
SPC (MI),Mining Influenced 4,925,SPC5,Fall,207,2.976408369,0.932810567,32,0.858809919,5,8,9,3,6,27,22,5,17.39130435,18,50.24154589,79.22705314,64.73429952,38.647343,17,19.8,3,9.2,13,12.1,13,5.3,4.3,46.4,30.4,6.3,10.1,0,6.280193237,19.3,33.3,65.2,5,4,6,3,8,9,12.1,17.4,17.9,8.7,39.1,13.5,22,76.3,3,10.1,4,2.4,3,11.1,20,2,0.96618,9.3,7.9,15.4,610,499,137.1,276.3,0.25,0.005,0.01,0.12,0.005,1.33,7.09,184.13,0,167.29,40.29,27.08,3.19,66.1,38.73,5.95,0.26,0.06,0.07,13.3,42.75,0.14,1.33,0.17,8.32,0.03,0.85,797.07,0.001,0.001,0.005,0.01,61.49,0.002,0.39,2.440915805,1.100663518,5,18,67,33,4.06504065,54.47154472,26.82926829,14.63414634,3.6,6.6,5.6,9.56,16,64,128,128,180,2,112,0.89999339,2.1,4.966666667,16.66666667,8.666666667,8.333333333,9,10,10,10,85.58333333,2.25
SPC (MI),Mining Influenced 4,150,SPC7,Fall,205,2.858426935,0.911029149,32,0.824767673,5,4,9,5,5,27,18,5,16.58536585,14,36.58536585,72.19512195,50.24390244,32.19512195,13,8.8,3,7.3,11.2,8.3,11.2,3.9,1,52.2,27.8,5.4,9.8,0.5,5.853658537,19.5,33.7,65.9,3,5,7,5,7,10,11.7,7.8,21.5,14.6,45.9,13.2,23,86.3,6,10.7,1,1.5,2,1.5,15,0,0,7.5,7.95,16,709,587,172.7,298.5,0.43,0.005,0.01,0.16,0.005,1.47,7.64,207.56,0,210.74,59.03,29.32,3.24,71.33,46.85,4.72,0.27,0.08,0.11,0.285,29.06,0.12,0.93,0.23,13.86,0.1,1.25,951.59,0.001,0.001,0.005,0.01,70.93,0.002,0.59,2.432810368,0.984910316,8,12,63,22,7.619047619,60,20.95238095,11.42857143,1.5,2.75,2.8,5.6,8,32,90,128,180,4,82,0.917913832,1.65,2.566666667,10.33333333,6.666666667,6,7,7.666666667,9.666666667,9,82.18,2.25
SPC (MI),Mining Influenced 4,0,SPC8,Fall,189,2.828832265,0.898407099,34,0.802195988,6,5,10,4,7,28,21,7,8.465608466,18,43.38624339,72.48677249,52.91005291,40.21164021,15,7.4,4,6.3,27.5,25.4,27.5,6.9,4.8,37.6,36,5.8,13.2,1.6,7.407407407,21.2,36.5,71.4,4,6,9,6,7,8,27.5,10.6,19.6,14.8,33.9,8.5,22,82,5,12.7,3,3.2,4,2.1,20,1,1.0582,6.9,7.81,15.5,756,620,182,317.8,0.34,0.005,0.04,0.16,0.005,1.5,8.07,227.44,0,221.99,65.7,31.72,3.38,75.08,54.65,4.25,0.31,0.07,0.11,14.8,129.44,0.22,1.46,0.4,16,0.12,1.25,1039.06,0.001,0.001,0.005,0.01,70.31,0.002,0.61,2.366960908,1.024550655,9,1,107,11,7.03125,83.59375,8.59375,0.78125,0.111111111,1.222222222,8,11,20.95,32,45,64,64,2,24.05,0.868408203,2,2.38,12.33333333,8.666666667,7.666666667,10,4.333333333,10,9,89.09,0.5
CRO (R),Reference 1,2050,CRO1,Spring,210,3.014653261,0.926984127,38,0.828751026,12,8,4,4,7,26,24,3,3.80952381,23,52.85714286,60,60,48.0952381,12,35.7,8,32.4,13.3,11.9,10.5,11.9,7.6,11,17.1,17.1,25.7,2.9,20,19,32.9,64.3,6,7,11,6,2,10,7.6,35.2,27.6,15.2,7.6,20,21,58.1,7,28.1,3,3.8,6,9,22,0,0,11.5,7.57,8.6,51,35,12.8,17.5,0.24,0.01,0.005,0.08,0.005,1.14,1.83,9.57,0,15.6,1.95,1.96,1.14,3.77,0.52,2.99,0.5,0.08,0.04,0.285,1.09,0.02,0.18,0.3,19.5,0.001,0.075,24.43,0.001,0.02,0.005,0.01,18.97,0.002,0.02,1.923469388,0.613461538,10,15,56,22,9.708737864,54.36893204,21.3592233,14.5631068,1.5,2.2,2.8,4.512,11,64,109,128,180,2,98,0.903949477,1.2,2.106666667,8,8,7.333333333,10,9,10,9,75.56333333,2.75
CRO (R),Reference 1,1900,CRO2,Spring,204,3.028611234,0.908064206,39,0.826684939,8,9,6,5,8,31,23,5,5.392156863,22,46.56862745,53.92156863,53.92156863,40.68627451,15,26.5,7,24.5,14.7,10.8,12.7,13.7,7.8,12.7,20.1,25.5,33.8,3.9,29.41176471,19.6,33.8,66.2,9,6,9,6,3,10,13.2,38.2,19.6,8.3,8.8,17.2,24,53.4,8,36.8,3,3.4,3,5.4,19,1,0.4902,11.3,7.65,8.8,54,38,13.2,17.2,0.18,0.03,0.005,0.08,0.005,1.12,1.87,9.56,0,16.15,1.91,1.91,1.11,3.76,0.49,2.71,0.41,0.06,0.02,0.285,0.79,0.02,0.16,0.25,6.94,0.001,0.075,24.22,0.001,0.01,0.005,0.01,19.05,0.002,0.02,1.968586387,0.591950464,10,13,58,32,8.849557522,51.32743363,28.31858407,11.50442478,1.3,3.2,3.04,8,11,45,128,128,180,2.844444444,117,0.904534419,1.266666667,1.62,8.333333333,7,6.333333333,10,10,10,10,68.62666667,3.5
CRO (R),Reference 1,1530,CRO3,Spring,194,3.022319818,0.919119991,36,0.843394404,9,9,5,5,6,27,23,3,7.216494845,21,47.42268041,51.03092784,51.03092784,40.72164948,14,20.6,7,18,19.6,15.5,16,15.5,7.7,10.8,26.8,21.6,36.6,0.5,22.16494845,20.6,35.6,69.6,5,6,11,6,3,10,13.4,26.8,26.3,12.4,4.1,24.2,24,54.6,6,35.1,2,6.2,4,4.1,22,0,0,10.8,7.51,8.9,55,38,13.5,17.5,0.23,0.03,0.03,0.09,0.005,1.1,1.92,9.48,0,16.46,1.92,1.93,1.1,3.82,0.5,3.1,0.35,0.05,0.02,0.285,1.09,0.02,0.17,0.27,6.73,0.001,0.075,25.05,0.001,0.01,0.005,0.01,19.67,0.002,0.01,1.979274611,0.575941677,20,19,46,18,19.41747573,44.66019417,17.47572816,18.44660194,0.95,0.9,2,2,4.8,32,128,180,180,5.625,123.2,0.885851635,1.65,4.633333333,12.33333333,7.666666667,7.666666667,10,10,10,10,55.39666667,3
CRO (R),Reference 1,1160,CRO4,Spring,211,3.246097958,0.948002066,39,0.886049771,9,9,6,5,9,30,24,4,10.42654028,22,62.55924171,68.72037915,68.72037915,55.92417062,15,30.3,7,26.1,21.8,19.4,15.6,19.9,11.4,16.6,32.2,11.8,21.8,0.5,12.32227488,19,32.7,64,8,6,10,6,4,10,15.6,26.5,23.7,11.8,8.1,18.5,25,61.1,7,19,2,7.6,5,12.3,23,1,1.4218,11,7.54,9.8,55,39,13.4,17.9,0.19,0.01,0.03,0.09,0.005,1.01,2.22,9.14,0,16.31,1.96,1.95,1.06,3.95,0.45,3.63,0.33,0.06,0.03,2.84,2.67,0.03,0.16,0.23,5.5,0.001,0.075,24.8,0.001,0.01,0.005,0.01,18.58,0.002,0.01,2.025641026,0.560392397,12,4,64,12,13.04347826,69.56521739,13.04347826,4.347826087,0.333333333,1,2,4.896,8,16,49.75,90,128,5.625,41.75,0.908553875,0.883333333,2.293333333,18.33333333,5.666666667,5.666666667,10,10,10,10,77.76333333,2.5
