Stream,Stream_Type,dist.d,Site,Season,totind,Hshannon,Hsimpson,rich,J,rich.E,rich.P,rich.T,rich.C,rich.D,rich.less.E,rich.EPT,rich.T.less.H,pT.less.H,rich.EPT.less.H,pEPT.less.H,pEPT,pEPT.less.Cheum,pEPT.less.HBL,rich.PT,pE,rich.E.less.B,pE.less.B,pP,pP.less.Leuc,pP.less.Amph,pP.less.Allo,pP.less.LAA,pT,pPT.H,pChi,pD,pOligo,pChiO,p1dom,p2dom,p5dom,rich.SH,rich.CG,rich.SC,rich.SC.less.E,rich.CF,rich.PR,pSH,pCG,pSC,pSC.less.E,pCF,pPR,rich.Cling,pCling,rich.Burrow,pBurrow,rich.Sprawl,pSprawl,rich.Swimm,pSwimm,rich.INT,rich.TOL,pTOL,do.mgl,ph,temp.C,sc.uScm,ac.uScm,alkalinity.mgl,hardness.mgl,tn.mgl,tp.mgl,nh3.n.mgl,no2no3.n.mgl,ortho.po4.p.mgl,npoc.mgl,cl.mgl,so4.mgl,co3.mgl,hco3.mgl,na.mgl,mg.mgl,k.mgl,ca.mgl,li.ugl,al.ugl,ti.ugl,v.ugl,cr.ugl,fe.ugl,mn.ugl,co.ugl,ni.ugl,cu.ugl,zn.ugl,as.ugl,se.ugl,sr.ugl,mo.ugl,ag.ugl,cd.ugl,sn.ugl,ba.ugl,pb.ugl,u.ugl,ca.mg,so4.hco3,fines,largecobble,pebbles,smallcobble,pfines,ppebbles,psmallcobble,plargecobble,LCF,SCF,D10,D16,D25,D50,D75,D84,D90,D84to50,IQR,Hsimpson.y,avgwetwidth,avgdepth,avgembedd,avgbankstabL,avgbankstaR,avgriparianwidL,avgriparianwidR,avgvegprotecL,avgvegprotecR,avgcancov,avg.slope
EAS (R),Reference 2,1180,EAS4,Fall,209,2.694511039,0.891508894,27,0.817549881,7,6,7,2,5,20,20,4,9.56937799,17,38.27751196,66.98564593,63.63636364,33.49282297,13,20.1,5,17.2,8.6,6.7,8.6,8.6,6.7,38.3,18.2,21.1,23.9,0,21.05263158,19.1,33,64.6,2,5,6,3,5,7,3.3,33,18.7,10.5,31.6,12.4,17,62.7,3,22.5,2,2.4,4,12,15,0,0,7.7,7.17,13,20,16,11.3,7.9,0.37,0.005,0.02,0.27,0.005,0.62,0.22,2.22,0,13.83,0.52,0.63,0.4,2.13,0.28,5.35,0.13,0.1,0.18,0.285,0.22,0.01,0.005,0.025,3.71,0.001,0.51,10.96,0.001,0.001,0.005,0.01,13.15,0.002,5.00E-04,3.380952381,0.160520607,5,4,67,35,4.504504505,60.36036036,31.53153153,3.603603604,0.8,7,8,11,16,45,90,128,128,2.844444444,74,0.895544193,1.366666667,1.566666667,15.33333333,7.666666667,6.666666667,10,10,10,10,80.43,8
EAS (R),Reference 2,855,EAS5,Fall,186,2.69775835,0.884842178,28,0.809601674,6,7,8,3,2,22,21,5,12.3655914,18,47.31182796,81.72043011,80.10752688,45.16129032,15,29,5,27.4,5.9,5.4,5.9,5.9,5.4,46.8,18.3,6.5,7,0,6.451612903,21.5,37.1,72.6,4,4,7,4,6,7,3.2,23.7,24.2,12.4,38.7,10.2,21,78.5,2,7,2,2.2,3,12.4,17,0,0,7.4,7.2,13,19,15,10.5,7.2,0.38,0.01,0.01,0.25,0.005,0.64,0.25,2.19,0,12.76,0.53,0.59,0.43,1.92,0.31,6.36,0.13,0.1,0.19,0.285,0.49,0.01,0.005,0.025,4.61,0.001,0.5,10.5,0.001,0.001,0.005,0.01,12.85,0.002,5.00E-04,3.254237288,0.171630094,8,12,42,23,9.411764706,49.41176471,27.05882353,14.11764706,1.5,2.875,8,8,16,64,128,128,180,2,112,0.891349481,1.126666667,3.12,16.66666667,7.666666667,6.666666667,10,10,10,10,84.49666667,9.5
EAS (R),Reference 2,615,EAS6,Fall,189,2.796566972,0.903782089,27,0.848514986,8,6,8,2,2,19,22,4,12.6984127,18,57.67195767,88.35978836,88.35978836,53.43915344,14,31.2,6,28.6,13.8,12.2,13.8,13.8,12.2,43.4,26.5,3.7,4.2,0.5,4.232804233,21.2,36.5,71.4,4,6,8,4,5,4,10.1,23.8,21.7,10.1,32.3,12.2,19,87.3,3,4.8,1,2.1,4,5.8,18,0,0,8,7.09,12.7,18,14,9.6,6.8,0.49,0.04,0.01,0.21,0.005,0.64,0.23,2.24,0,11.72,0.52,0.57,0.37,1.78,0.27,6.96,0.14,0.08,0.15,0.285,0.37,0.01,0.005,0.025,3.15,0.001,0.26,10.04,0.001,0.001,0.005,0.01,11.83,0.002,5.00E-04,3.122807018,0.19112628,7,8,34,22,9.85915493,47.88732394,30.98591549,11.26760563,1.142857143,3.142857143,5.6,11,16,64,128,128,180,2,112,0.88831581,1.6,7.806,16,8,8,10,10,10,10,78.55,12.83
EAS (R),Reference 2,330,EAS7,Fall,185,2.826247548,0.902089116,29,0.839322617,7,4,9,3,5,22,20,5,13.51351351,16,45.40540541,77.83783784,75.13513514,43.24324324,13,23.2,6,21.1,8.6,8.6,8.6,8.6,8.6,45.9,22.2,7,9.2,0,7.027027027,21.6,37.3,73,3,3,10,5,6,7,4.3,18.9,28.1,16.8,35.1,13.5,21,84.3,4,9.2,2,1.1,2,5.4,16,0,0,7.8,6.86,12.8,16,12,8.5,5.9,0.3,0.01,0.01,0.18,0.005,0.68,0.23,2.01,0,10.41,0.52,0.55,0.36,1.46,0.31,7.38,0.13,0.06,0.16,0.285,0.6,0.01,0.005,0.025,3.27,0.001,0.22,8.92,0.001,0.001,0.005,0.01,11.01,0.002,5.00E-04,2.654545455,0.193083573,11,5,43,20,13.92405063,54.43037975,25.3164557,6.329113924,0.454545455,1.818181818,2,5.6,8,45,90,128,128,2.844444444,82,0.903060407,1.49,4.593333333,14.33333333,7.333333333,7,10,10,10,10,78.37666667,14.5
EAS (R),Reference 2,0,EAS8,Fall,199,2.894726794,0.916037474,28,0.868712225,6,7,7,3,3,22,20,4,8.542713568,17,43.2160804,73.36683417,66.33165829,40.20100503,14,20.1,5,19.1,14.6,12.6,14.6,14.6,12.6,38.7,23.1,10.6,13.1,1,11.55778894,20.1,34.7,67.8,5,5,9,5,4,5,8.5,21.1,25.6,13.6,31.2,13.6,19,80.4,4,14.1,2,1.5,3,4,17,0,0,8,6.73,12.6,15,11,7.3,5.2,0.36,0.02,0.01,0.17,0.005,0.67,0.26,1.95,0,8.94,0.49,0.55,0.36,1.19,0.3,8.54,0.13,0.06,0.17,0.285,0.89,0.01,0.005,0.025,4.05,0.001,0.075,8.15,0.001,0.001,0.005,0.01,10.51,0.002,5.00E-04,2.163636364,0.218120805,15,16,39,25,15.78947368,41.05263158,26.31578947,16.84210526,1.066666667,1.666666667,2,2.848,8,64,128,180,180,2.8125,120,0.882437673,1.533333333,3.106666667,8,8.666666667,8.666666667,10,10,10,10,84.65666667,14
FRY (MI),Mining Influenced 1,2095,FRY1,Fall,226,2.5073169,0.870937427,24,0.788947272,2,4,6,5,4,22,12,3,4.424778761,9,13.27433628,60.17699115,46.01769912,12.83185841,10,3.5,1,3.1,5.3,5.3,5.3,5.3,5.3,51.3,9.7,1.8,12.8,0.4,2.212389381,17.7,30.5,59.7,3,3,7,6,4,7,11.5,2.7,29.2,26.1,50,6.6,16,82.3,5,14.6,2,2.7,1,0.4,10,0,0,8.3,7.58,12.6,468,358,112.1,201.1,0.41,0.02,0.01,0.28,0.01,1.27,10.63,120.87,0,136.76,24.47,20.98,2.37,46.02,4,3.32,0.24,0.18,0.11,0.285,0.35,0.05,0.21,0.25,3.98,0.07,0.19,506.01,0.001,0.001,0.005,0.01,61.58,0.002,0.41,2.193517636,0.883811056,10,5,76,25,8.620689655,65.51724138,21.55172414,4.310344828,0.5,2.5,3.4,5.6,8,32,90,128,128,4,82,0.914090369,3.13,2.84,10,8.666666667,7.666666667,10,10,10,9.666666667,72.64666667,2.5
FRY (MI),Mining Influenced 1,1775,FRY2,Fall,201,2.468349384,0.8119601,30,0.725729532,4,5,9,4,5,26,18,5,8.457711443,14,19.40298507,69.65174129,62.18905473,18.4079602,14,6,3,5.5,5,4.5,5,5,4.5,58.7,13.4,2,9.5,2,3.980099502,19.9,34.3,67.2,4,5,8,6,6,7,8,5.5,23.9,18.9,52.7,10,20,83.1,5,12.4,3,3.5,2,1,15,0,0,8.3,7.75,13,480,370,114.1,214.7,0.37,0.01,0.005,0.27,0.01,1.23,10.49,125.74,0,139.2,26.35,22.35,2.49,49.24,4.31,3.61,0.25,0.18,0.13,0.285,0.27,0.06,0.19,0.13,5.51,0.08,1.01,530.73,0.001,0.001,0.005,0.01,63.69,0.002,0.4,2.203131991,0.903304598,5,13,59,20,5.154639175,60.82474227,20.6185567,13.40206186,2.6,4,7.04,11,16,45,128,128,180,2.844444444,112,0.899139122,2.15,4.633333333,11.66666667,9.666666667,8.333333333,10,8,10,9.333333333,59.32,4.5
FRY (MI),Mining Influenced 1,1480,FRY3,Fall,192,2.296025427,0.822536892,22,0.742799706,1,4,8,3,4,21,13,4,5.729166667,9,16.66666667,74.47916667,55.72916667,16.66666667,12,3.6,1,3.6,7.3,7.3,7.3,7.3,7.3,63.5,13,1.6,10.9,0,1.5625,20.8,35.9,70.3,3,2,5,4,5,7,12,2.1,16.1,12.5,58.9,10.9,15,82.3,3,13,3,4.2,1,0.5,13,0,0,7.4,7.92,13.3,473,368,111.5,213.5,0.39,0.02,0.01,0.54,0.01,1.18,10.76,124.01,0,136.03,24.82,22.1,2.47,49.18,3.7,4.05,0.29,0.2,0.19,0.285,0.82,0.06,0.24,0.15,14.53,0.09,0.57,477.58,0.001,0.001,0.005,0.01,64.88,0.002,0.38,2.225339367,0.911637139,3,3,63,22,3.296703297,69.23076923,24.17582418,3.296703297,1,7.333333333,8,8,11,45,90,90,128,2,79,0.898683734,2.146666667,4.266666667,11,9.666666667,8,10,9.666666667,10,9.666666667,61.91666667,5
FRY (MI),Mining Influenced 1,1155,FRY4,Fall,196,2.471518068,0.827884215,29,0.733977112,3,8,7,5,5,26,18,4,9.183673469,15,24.48979592,75.51020408,64.28571429,23.46938776,15,5.1,2,4.6,10.2,9.7,10.2,9.7,9.2,60.2,19.4,0.5,8.7,0,0.510204082,20.4,35.2,68.9,6,3,8,6,5,7,12.8,2.6,19.4,14.8,52.6,12.8,21,86.7,4,9.2,3,3.6,1,0.5,16,0,0,8,7.92,13.7,490,385,114.4,219.2,0.45,0.02,0.02,0.28,0.01,1.37,10.7,131.51,0,139.59,25.12,22.74,2.47,50.4,4.17,4.38,0.3,0.18,0.16,0.285,0.9,0.06,0.24,0.18,4.71,0.08,0.075,502.48,0.001,0.001,0.005,0.01,65.37,0.002,0.38,2.216358839,0.942116197,3,5,73,21,2.941176471,71.56862745,20.58823529,4.901960784,1.666666667,7,8,11,16,45,83.5,90,128,2,67.5,0.904075356,2.716666667,3.833333333,9,7.333333333,9,10,10,10,10,72.04666667,4.25
FRY (MI),Mining Influenced 1,790,FRY5,Fall,224,2.306184193,0.804767219,30,0.678050679,4,7,10,3,4,26,21,6,19.64285714,17,33.03571429,88.39285714,74.10714286,32.58928571,17,2.2,4,2.2,11.2,10.7,11.2,10.3,9.8,75,30.8,1.8,4,0,1.785714286,17.9,30.8,60.3,6,1,9,5,7,7,10.3,1.8,11.2,8.9,58,18.8,23,87.9,4,4,3,8,0,0,16,0,0,8.3,7.91,13.9,509,400,113.7,230.9,0.4,0.02,0.005,0.29,0.01,1.16,10.8,142.41,0,138.71,25.85,23.93,2.51,53.1,5.37,4.15,0.32,0.17,0.15,0.285,1.58,0.06,0.26,0.19,3.88,0.05,0.075,538.7,0.001,0.001,0.005,0.01,64.4,0.002,0.39,2.218972002,1.026674357,1,8,64,23,1.041666667,66.66666667,23.95833333,8.333333333,8,23,5.6,8,11,45,90,128,128,2.844444444,79,0.903428819,1.853333333,9.633333333,7.333333333,5.666666667,5.666666667,10,6.666666667,10,9,84.22333333,5
