site,transect,wetwid,barwid,lft,lctr,ctr,rctr,rht,chancode,embedd,bankstabL,bankstaR,riparianwidL,riparianwidR,vegprotecL,vegprotecR,cancov
FRY3,FRY3A,1.98,NA,2,6.5,7,3,2,RUN,11,10,9,10,10,10,10,72.65
FRY3,FRY3B,2,NA,3,8.5,10.5,3.5,0.5,RUN,12,9,7,10,10,10,10,57.31
FRY3,FRY3C,2.46,NA,1,8,5,2.5,1,RUN,10,10,8,10,9,10,9,55.79
FRY4,FRY4A,3.3,NA,0.5,8,4.5,4,0.5,RUN,8,5,10,10,10,10,10,70.2
FRY4,FRY4B,1.95,NA,1.5,5.5,8.5,7.5,0.5,RIFF,8,9,8,10,10,10,10,70.27
FRY4,FRY4C,2.9,NA,1.5,2.5,0,11.5,1,RIFF,11,8,9,10,10,10,10,75.67
FRY5,FRY5A,0.96,NA,1,9.5,11,6,3,RIFF,6,2,9,10,10,10,10,75.59
FRY5,FRY5B,3.1,NA,5,19.5,27.5,15.5,7,POOL,6,8,3,10,5,10,10,82.53
FRY5,FRY5C,1.5,NA,1,11.2,12,12.3,3,RUN,10,7,5,10,5,10,7,94.55
FRY6,FRY6A,3.1,NA,1.5,2.5,7.5,3,1.5,RUN,10,6,7,10,10,10,10,96.13
FRY6,FRY6B,3.1,NA,1.5,6.5,0,2.8,0.5,RIFF,13,3,8,10,10,10,10,86.63
FRY6,FRY6C,3.55,NA,0.5,3.5,13,5.5,4,RIFF,11,8,5,10,10,10,10,81.98
FRY7,FRY7A,1.15,NA,1.5,2,5,1.5,3,RUN,10,9,9,10,10,10,10,92.99
FRY7,FRY7B,2.5,NA,1,2,0,0.5,1,RUN,11,9,8,10,10,10,10,55.93
FRY7,FRY7C,1.9,NA,1,8,8,5.5,3,RUN,8,9,5,10,10,10,10,88.92
FRY8,FRY8A,1.29,NA,1.5,8,10,2.5,1,POOL,9,8,8,10,10,10,10,81.42
FRY8,FRY8B,1,NA,1.5,6,10,0,2.5,RUN,10,2,7,10,10,10,10,87.73
FRY8,FRY8C,2.15,NA,1.5,2.5,0,2,1,RIFF,9,3,6,10,10,10,10,84.14
FRY9,FRY9A,2,NA,3,1,3,1,1,RUN,8,6,7,10,10,10,10,12.44
FRY9,FRY9B,2.4,NA,16.5,19.5,31.5,28.5,1,POOL,5,8,7,10,10,10,10,91.81
FRY9,FRY9C,0.95,NA,0.5,1,7.5,0,1.5,RUN,3,5,6,10,8,10,8,44.6
LLW1,LLW1A,2.25,NA,0.5,10.5,3.5,2.5,2.7,RIFF,17,6,7,2,3,6,6,90.6
LLW1,LLW1B,2.95,NA,2,4.8,6,3.5,1,RIFF,18,2,3,2,4,6,7,89.2
LLW1,LLW1C,1.5,NA,5,10,18.5,9,3,RIFF,15,5,6,2,10,6,10,95
LLW2,LLW2A,1.4,NA,3,14.5,5,6.5,2,RIFF,12,6,6,10,4,10,9,96.7
