Stream,Stream_Type,dist.d,Site,Season,Hshannon.mac,rich,rich.E,rich.EPT,pEPT.less.H,pEPT,pE,rich.E.less.B,pE.less.B,pP,pP.less.Amph,pT,pPT.H,pChi,pD,pChiO,p1dom,p5dom,rich.SC,pPR,rich.Cling,pCling,pSprawl,pSwimm,ph,temp.C,sc.uScm,no2no3.n.mgl,npoc.mgl,na.mgl,ca.mgl,fe.ugl,ni.ugl,as.ugl,se.ugl,ba.ugl,u.ugl,ca.mg,pfines,D16,D90,Hsimpson.peb,avgwetwidth,avgembedd,avgvegprotecL,avgvegprotecR,avg.slope
FRY (MI),Mining Influenced 1,2785,FRY1,Spring,2.327105447,25,7,17,78.82882883,81.98198198,45,5,9,28.4,12.2,8.6,33.8,9.5,11.7,9.90990991,18,60.8,8,10.8,19,36,18,35.6,7.96,10,343,0.13,0.96,14.57,31.44,0.285,0.28,0.001,0.075,38.17,0.1,2.342771982,8.620689655,5.6,128,0.914090369,3.13,10,10,9.666666667,2.5
FRY (MI),Mining Influenced 1,2465,FRY2,Spring,2.495397984,27,9,19,77.72277228,80.1980198,40.6,7,11.4,28.7,16.8,10.9,37.1,13.4,14.4,13.86138614,19.8,66.8,8,10.4,19,42.6,12.9,30.2,7.87,10.2,346,0.15,1.25,13.91,31.12,0.285,0.31,0.001,0.075,37.18,0.11,2.336336336,5.154639175,11,180,0.899139122,2.15,11.66666667,10,9.333333333,4.5
FRY (MI),Mining Influenced 1,2170,FRY3,Spring,2.396437835,26,5,19,79.22705314,83.57487923,40.6,4,9.2,27.5,10.1,15.5,38.6,11.6,14.5,11.5942029,19.3,65.2,4,11.1,20,36.7,19.3,31.4,7.99,10.7,326,0.12,0.94,12.36,29.96,0.285,0.27,0.001,0.075,34.72,0.09,2.383452665,3.296703297,8,128,0.898683734,2.146666667,11,10,9.666666667,5
FRY (MI),Mining Influenced 1,1845,FRY4,Spring,2.154000345,21,4,14,82.02764977,87.09677419,37.3,3,5.1,40.6,25.3,9.2,44.7,7.8,8.8,7.834101382,18.4,62.2,4,5.1,14,41.9,17.1,32.3,8.04,11.5,325,0.11,1.16,11.9,30.07,0.285,0.28,0.001,0.075,33.16,0.09,2.360282575,2.941176471,11,128,0.904075356,2.716666667,9,10,10,4.25
FRY (MI),Mining Influenced 1,1480,FRY5,Spring,2.185945735,23,6,17,79.89949749,81.40703518,41.7,5,10.1,36.2,25.6,3.5,38.2,15.1,18.1,15.07537688,20.1,67.8,4,7.5,15,37.2,14.1,32.7,8.03,12.9,312,0.12,0.94,10.91,28.52,0.285,0.24,0.001,0.075,30.91,0.09,2.326264274,1.041666667,8,128,0.903428819,1.853333333,7.333333333,10,9,5
FRY (MI),Mining Influenced 1,1030,FRY6,Spring,2.413881341,24,5,16,79.42583732,82.29665072,34.9,4,14.8,39.7,30.1,7.7,44.5,11,13.9,11.48325359,19.1,64.6,6,5.3,17,55.5,11,20.1,8.26,13.7,309,0.15,0.9,8.91,29.01,0.285,0.25,0.001,0.075,29.91,0.07,2.284251969,5.208333333,5.6,128,0.914713542,3.25,11.33333333,10,10,6
FRY (MI),Mining Influenced 1,690,FRY7,Spring,2.207920858,24,5,16,79.16666667,81.94444444,60.6,4,22.7,14.4,12.5,6.9,18.5,12,13.9,12.5,18.5,62.5,6,10.6,18,45.8,3.2,38,8.05,13,128,0.16,0.96,8.29,9.74,0.285,0.23,0.001,0.075,25.5,0.01,2.759206799,3.80952381,8,128,0.913560091,1.85,9.666666667,10,10,5
FRY (MI),Mining Influenced 1,360,FRY8,Spring,2.655316167,24,6,16,66.32124352,70.98445596,41.5,5,26.4,19.7,12.4,9.8,24.9,16.6,23.3,18.13471503,20.7,69.9,6,11.9,17,54.4,11.4,15.5,7.89,13,120,0.18,0.9,7.69,9.01,0.285,0.11,0.001,0.075,25.2,0.01,2.689552239,2.97029703,8,128,0.911283208,1.48,9.333333333,10,10,5.5
FRY (MI),Mining Influenced 1,0,FRY9,Spring,2.802156774,30,8,19,50.73891626,51.23152709,31.5,6,27.1,17.7,15.8,2,19.2,23.2,34,24.13793103,19.7,66.5,8,12.8,18,55.2,5.4,11.8,7.61,12.3,61,0.24,0.76,3.91,3.76,0.285,0.12,0.001,0.075,18.45,5.00E-04,2.054644809,12.34567901,5.6,180,0.900167657,1.783333333,5.333333333,10,9.333333333,10
LLW (MI),Mining Influenced 2,1950,LLW1,Spring,2.448038067,24,3,11,52.35849057,56.60377358,6.1,1,0.5,42.9,28.3,7.5,46.2,25,32.5,25.94339623,18.9,63.7,5,9,16,49.1,17.9,5.7,8.47,9.2,907,0.23,1.92,7.42,92.83,0.285,1.08,0.001,2.95,42.05,0.72,1.583049113,4.587155963,11,128,0.900765929,2.233333333,16.66666667,6,7.666666667,4
LLW (MI),Mining Influenced 2,1400,LLW2,Spring,2.340523184,26,4,16,45.37815126,50,7.6,2,1.3,34.9,18.9,7.6,37.8,33.6,40.3,34.45378151,16.8,56.7,7,9.7,19,39.9,18.9,6.3,8.49,10.9,927,0.22,1.41,7.65,97.77,0.285,1.24,0.001,3.09,41.61,0.68,1.619513003,7.142857143,9.56,128,0.895251978,2.033333333,15.66666667,10,6.666666667,2.75
LLW (MI),Mining Influenced 2,1140,LLW3,Spring,1.773519108,18,4,11,50.22222222,53.77777778,5.3,2,0.9,44.9,31.1,3.6,44.9,39.6,43.6,39.55555556,17.8,60,3,3.1,12,40,15.6,4.9,8.42,12.3,1062,0.19,1.8,8.33,114.14,0.285,1.57,0.001,4.12,38.65,0.76,1.627084818,8.910891089,11,128,0.897363004,2.266666667,15,10,7.666666667,11.25
LLW (MI),Mining Influenced 2,640,LLW4,Spring,1.916530053,17,2,9,59,63.5,3,0,0,53.5,34,7,56,27,32,28,20,67.5,2,5,10,48,20.5,3,8.37,11.9,1105,0.16,1.85,8.59,119.48,0.285,1.85,0.001,4.34,37.82,0.83,1.653244777,4.385964912,11,180,0.907663897,1.566666667,13,10,7.333333333,5.5
LLW (MI),Mining Influenced 2,390,LLW5,Spring,1.840348728,18,2,9,59.31372549,63.23529412,1,0,0,57.8,18.1,4.4,58.3,27.9,34.3,28.43137255,19.6,66.2,2,3.9,10,27.9,42.2,1,8.39,10.3,1362,0.21,1.25,8.44,148.29,0.285,1.27,0.001,1.75,40.14,1.7,1.478464606,4.807692308,8,116.6,0.909763314,1.8,13.66666667,10,10,6.5
LLW (MI),Mining Influenced 2,0,LLW6,Spring,1.424693012,15,2,8,40,41.11111111,1.7,1,0.6,37.8,5,1.7,38.3,50,55.6,52.77777778,22.2,75,1,3.9,7,10,33.9,2.8,8.39,11.2,1687,0.3,1.14,9.12,194.43,0.285,1.86,0.001,2.35,32.54,2.46,1.465184627,0,11,174.8,0.899653979,1.333333333,11.33333333,10,10,16
ROL (MI),Mining Influenced 3,1500,ROL1,Spring,2.026924684,22,5,14,77,84,4.5,3,3,71,48,8.5,72.5,3.5,4.5,8.5,20,67.5,5,4.5,13,63.5,23,4,9.28,9.1,516,0.1,0.91,17.12,52.09,0.285,0.55,0.001,0.59,41.8,0.19,2.205334462,2.631578947,11,128,0.889542936,2.533333333,17,10,10,11.5
ROL (MI),Mining Influenced 3,1360,ROL2,Spring,1.850286458,24,6,16,83.85416667,88.54166667,5.2,4,2.6,76.6,53.1,6.8,78.6,0,2.1,3.645833333,20.8,70.3,7,4.7,16,68.2,24.5,2.6,8.04,10.4,620,0.1,0.91,15.14,65.2,0.285,0.64,0.001,0.075,41.83,0.24,2.045811108,2.298850575,8,128,0.912934337,3.266666667,16.33333333,10,10,3
ROL (MI),Mining Influenced 3,1160,ROL3,Spring,1.931142547,20,0,10,80,80.55555556,0,0,0,76.1,50,4.4,80,3.9,7.2,11.11111111,22.2,75,3,9.4,12,58.3,28.9,0,7.83,11.2,665,0.13,1.1,15.29,72.1,0.285,0.73,0.001,0.075,42.52,0.28,2.043650794,1.19047619,11,128,0.895408163,1.716666667,16.66666667,10,10,3.5
ROL (MI),Mining Influenced 3,765,ROL4,Spring,2.054415969,19,2,10,59.79381443,62.37113402,2.6,1,1.5,55.7,33.5,4.1,57.2,25.3,27.3,34.02061856,20.6,69.6,4,5.2,9,38.7,22.7,2.6,7.88,12.4,819,0.09,1.23,14.93,92.65,0.285,0.98,0.001,0.075,45.14,0.35,2.01019744,4.545454545,8,128,0.903409091,1.5,15,10,10,6.5
ROL (MI),Mining Influenced 3,455,ROL5,Spring,1.629069148,12,0,6,62.69430052,66.32124352,0,0,0,62.7,47.7,3.6,62.7,19.7,21.2,30.56994819,20.7,69.9,2,1.6,6,52.8,15.5,0,8.06,14.2,954,0.11,1.21,15.21,112.77,0.285,1.08,0.001,0.6,42.06,0.44,1.980158033,5.952380952,8,128,0.905612245,0.693333333,12.33333333,10,10,6.33
ROL (MI),Mining Influenced 3,205,ROL6,Spring,1.45465823,13,0,8,76.54867257,78.31858407,0,0,0,76.1,55.3,2.2,76.5,19.5,20.8,19.46902655,17.7,59.7,2,4,8,58,21.7,0,7.95,13.8,1244,0.3,1.51,8.95,156.28,0.285,1.63,0.001,1.78,41.94,0.91,1.885162847,6.153846154,8,180,0.911242604,0.866666667,10,10,10,10.25
ROL (MI),Mining Influenced 3,0,ROL7,Spring,1.367961543,10,0,9,81.01851852,81.94444444,0,0,0,79.2,55.1,2.8,81,18.1,18.1,18.05555556,18.5,62.5,1,3.2,8,57.9,24.1,0,7.93,10.5,1505,0.53,1.35,10.79,207.96,0.285,2.43,0.001,2.56,28.25,1.42,1.968013627,9.333333333,4,90,0.906311111,0.866666667,9.666666667,10,10,14.5
SPC (MI),Mining Influenced 4,2556,SPC1,Spring,2.295106649,22,6,16,62.11453744,66.96035242,18.9,4,11,37.9,17.6,10.1,43.2,27.3,29.1,29.95594714,17.6,59.5,3,6.2,14,40.5,21.1,7.9,8.27,6.6,379,0.03,1.02,30.83,31.51,0.285,1.07,0.001,0.075,43.63,0.09,2.783568905,8.602150538,8,180,0.893976182,2.333333333,10.66666667,9,9,3.5
SPC (MI),Mining Influenced 4,2167,SPC2,Spring,2.154430623,21,7,15,49.53703704,51.38888889,16.7,4,6.9,31.5,18.1,3.2,32.9,30.1,31,46.2962963,18.5,62.5,4,4.2,15,32.9,13.9,6.9,8.42,7.5,396,0.03,1.02,31.02,32.69,0.285,1.28,0.001,0.075,41.51,0.11,2.784497445,7.692307692,5.6,128,0.896510083,3.95,11,8.666666667,10,3
SPC (MI),Mining Influenced 4,1793,SPC3,Spring,2.38333021,24,6,18,76.19047619,77.61904762,23.8,4,10.5,47.6,32.4,6.2,52.4,17.6,19,18.0952381,19,64.3,4,8.6,18,52.9,15.2,13.3,8.37,7.6,399,0.07,0.99,23.54,37,15.77,1.91,0.001,0.075,35.97,0.12,2.712609971,4.807692308,6.752,128,0.905695266,3.683333333,13.66666667,10,9.666666667,1.25
SPC (MI),Mining Influenced 4,1294,SPC4,Spring,2.613986959,25,9,18,72.86432161,73.36683417,29.1,6,12.6,40.2,24.1,4,43.7,14.1,14.1,19.59798995,20.1,67.8,6,6,16,45.7,16.6,17.1,8.24,11.7,433,0.09,1.05,24.77,40.25,12.71,2.54,0.001,0.075,37.63,0.13,2.662037037,8.695652174,8,180,0.896786389,2.633333333,12.66666667,9.666666667,9.666666667,1.75
SPC (MI),Mining Influenced 4,925,SPC5,Spring,2.686599172,29,6,23,81.42857143,83.80952381,25.7,4,13.3,49,31.4,9,55.7,8.6,12.9,9.047619048,19,64.3,3,9,20,56.7,20.5,12.4,8.08,12.3,444,0.11,1.1,24.62,42.57,36.4,3.22,0.001,0.075,37.82,0.15,2.60207824,4.06504065,9.56,180,0.89999339,2.1,16.66666667,10,10,2.25
SPC (MI),Mining Influenced 4,525,SPC6,Spring,2.732107319,31,8,22,83.88625592,85.78199052,25.1,6,19.4,49.8,30.8,10.9,58.8,2.4,4.7,2.369668246,19,64,8,14.2,22,69.7,20.9,6.2,8.08,12.3,440,0.13,0.89,25.74,41.85,14.93,4.79,0.001,0.075,35.29,0.15,2.495527728,4.761904762,11,180,0.893968254,1.716666667,11.66666667,10,9,4.25
SPC (MI),Mining Influenced 4,150,SPC7,Spring,3.065922139,39,10,26,64.03940887,70.93596059,23.6,9,18.2,33.5,28.1,13.8,40.4,8.9,14.3,9.852216749,19.7,66.5,11,15.3,26,70.9,8.9,6.9,7.96,11,403,0.16,0.98,25.95,36.38,41.43,1.03,0.001,0.075,36.56,0.16,2.617266187,7.619047619,5.6,180,0.917913832,1.65,10.33333333,9.666666667,9,2.25
SPC (MI),Mining Influenced 4,0,SPC8,Spring,2.611881503,30,8,23,82.14285714,84.18367347,33.2,6,29.6,46.4,37.8,4.6,49,3.6,4.6,3.571428571,20.4,68.9,6,11.7,20,80.6,9.7,5.1,7.74,10.5,427,0.18,0.95,29.97,39.1,26.37,1.23,0.001,0.075,36.96,0.17,2.545572917,7.03125,11,64,0.868408203,2,12.33333333,10,9,0.5
