Stream,Stream_Type,dist.d,Site,Season,Hshannon.mac,rich,rich.E,rich.EPT,pEPT.less.H,pEPT,pE,rich.E.less.B,pE.less.B,pP,pP.less.Amph,pT,pPT.H,pChi,pD,pChiO,p1dom,p5dom,rich.SC,pPR,rich.Cling,pCling,pSprawl,pSwimm,ph,temp.C,sc.uScm,no2no3.n.mgl,npoc.mgl,na.mgl,ca.mgl,fe.ugl,ni.ugl,as.ugl,se.ugl,ba.ugl,u.ugl,ca.mg,pfines,D16,D90,Hsimpson.peb,avgwetwidth,avgembedd,avgvegprotecL,avgvegprotecR,avg.slope
EAS (R),Reference 2,0,EAS8,Fall,2.894726794,28,6,20,43.2160804,73.36683417,20.1,5,19.1,14.6,14.6,38.7,23.1,10.6,13.1,11.55778894,20.1,67.8,9,13.6,19,80.4,1.5,4,6.73,12.6,15,0.17,0.67,0.49,1.19,0.285,0.005,0.001,0.075,10.51,5.00E-04,2.163636364,15.78947368,2.848,180,0.882437673,1.533333333,8,10,10,14
FRY (MI),Mining Influenced 1,2095,FRY1,Fall,2.5073169,24,2,12,13.27433628,60.17699115,3.5,1,3.1,5.3,5.3,51.3,9.7,1.8,12.8,2.212389381,17.7,59.7,7,6.6,16,82.3,2.7,0.4,7.58,12.6,468,0.28,1.27,24.47,46.02,0.285,0.21,0.07,0.19,61.58,0.41,2.193517636,8.620689655,5.6,128,0.914090369,3.13,10,10,9.666666667,2.5
FRY (MI),Mining Influenced 1,1775,FRY2,Fall,2.468349384,30,4,18,19.40298507,69.65174129,6,3,5.5,5,5,58.7,13.4,2,9.5,3.980099502,19.9,67.2,8,10,20,83.1,3.5,1,7.75,13,480,0.27,1.23,26.35,49.24,0.285,0.19,0.08,1.01,63.69,0.4,2.203131991,5.154639175,11,180,0.899139122,2.15,11.66666667,10,9.333333333,4.5
FRY (MI),Mining Influenced 1,1480,FRY3,Fall,2.296025427,22,1,13,16.66666667,74.47916667,3.6,1,3.6,7.3,7.3,63.5,13,1.6,10.9,1.5625,20.8,70.3,5,10.9,15,82.3,4.2,0.5,7.92,13.3,473,0.54,1.18,24.82,49.18,0.285,0.24,0.09,0.57,64.88,0.38,2.225339367,3.296703297,8,128,0.898683734,2.146666667,11,10,9.666666667,5
FRY (MI),Mining Influenced 1,1155,FRY4,Fall,2.471518068,29,3,18,24.48979592,75.51020408,5.1,2,4.6,10.2,10.2,60.2,19.4,0.5,8.7,0.510204082,20.4,68.9,8,12.8,21,86.7,3.6,0.5,7.92,13.7,490,0.28,1.37,25.12,50.4,0.285,0.24,0.08,0.075,65.37,0.38,2.216358839,2.941176471,11,128,0.904075356,2.716666667,9,10,10,4.25
FRY (MI),Mining Influenced 1,790,FRY5,Fall,2.306184193,30,4,21,33.03571429,88.39285714,2.2,4,2.2,11.2,11.2,75,30.8,1.8,4,1.785714286,17.9,60.3,9,18.8,23,87.9,8,0,7.91,13.9,509,0.29,1.16,25.85,53.1,0.285,0.26,0.05,0.075,64.4,0.39,2.218972002,1.041666667,8,128,0.903428819,1.853333333,7.333333333,10,9,5
FRY (MI),Mining Influenced 1,340,FRY6,Fall,2.456839373,23,0,14,30.5,77,0,0,0,15.5,15.5,61.5,30.5,1.5,6,3.5,20,67.5,6,13.5,17,78.5,12.5,0,7.95,14.2,528,0.3,1.21,20.75,58.04,0.285,0.31,0.03,0.2,62.43,0.36,2.152020764,5.208333333,5.6,128,0.914713542,3.25,11.33333333,10,10,6
FRY (MI),Mining Influenced 1,0,FRY7,Fall,2.192395559,27,3,17,26.02739726,83.10502283,3.2,2,2.7,13.2,13.2,66.7,22.8,1.4,3.2,2.283105023,18.3,61.6,6,11,19,83.6,9.6,0.5,7.93,14.9,272,0.4,1.15,22.25,25.34,0.285,0.06,0.05,0.075,62.23,0.07,2.847191011,3.80952381,8,128,0.913560091,1.85,9.666666667,10,10,5
LLW (MI),Mining Influenced 2,1950,LLW1,Fall,2.706368135,24,0,12,25.92592593,53.7037037,0,0,0,20.4,20.4,33.3,25.9,6.9,12,6.944444444,18.5,62.5,6,8.8,17,87,3.7,0,8.35,12.8,1242,0.23,1.19,12.34,146.11,0.285,1.11,0.01,3.39,80.93,1.78,1.394711722,4.587155963,11,128,0.900765929,2.233333333,16.66666667,6,7.666666667,4
LLW (MI),Mining Influenced 2,1400,LLW2,Fall,2.612150524,28,2,13,24.37810945,61.69154229,2,1,1,19.9,19.9,39.8,22.4,7,12.9,9.452736318,19.9,67.2,6,7,16,82.6,1.5,1,8.07,13.4,1259,0.24,1.16,12.88,151.92,0.285,1.18,0.04,5.26,75.62,1.73,1.394145178,7.142857143,9.56,128,0.895251978,2.033333333,15.66666667,10,6.666666667,2.75
