Stream,Site,fines,largecobble,pebbles,smallcobble,pfines,ppebbles,psmallcobble,plargecobble,LCF,SCF,Hsimpson,D10,D16,D25,D50,D75,D84,D90,D84to50,IQR,avgwetwidth,avgdepth,avgembedd,avgbankstabL,avgbankstaR,avgriparianwidL,avgriparianwidR,avgvegprotecL,avgvegprotecR,avgcancov,avg slope
FRY (MI),FRY9,11,25,36,9,13.58024691,44.44444444,11.11111111,30.86419753,2.272727273,0.818181818,0.900167657,2,5.6,11,22.6,128,128,180,5.663716814,117,1.783333333,7.766666667,5.333333333,6.333333333,6.666666667,10,9.333333333,10,9.333333333,49.61666667,10
LLW (MI),LLW1,6,22,55,26,5.504587156,50.4587156,23.85321101,20.18348624,3.666666667,4.333333333,0.900765929,8,11,16,45,90,128,128,2.844444444,74,2.233333333,5.5,16.66666667,4.333333333,5.333333333,2,5.666666667,6,7.666666667,91.6,4
LLW (MI),LLW2,7,24,41,26,7.142857143,41.83673469,26.53061224,24.48979592,3.428571429,3.714285714,0.895251978,5.6,9.56,11,64,90,128,128,2,79,2.033333333,5.393333333,15.66666667,7,6.666666667,10,3.333333333,10,6.666666667,91.4,2.75
LLW (MI),LLW3,9,19,45,28,8.910891089,44.55445545,27.72277228,18.81188119,2.111111111,3.111111111,0.897363004,5.6,11,16,45,90,128,128,2.844444444,74,2.266666667,8.54,15,5,6.333333333,10,5.333333333,10,7.666666667,91.32,11.25
LLW (MI),LLW4,6,26,56,26,5.263157895,49.12280702,22.80701754,22.80701754,4.333333333,4.333333333,0.907663897,5.6,11,11,45,90,128,180,2.844444444,79,1.566666667,5.28,13,8.666666667,8.333333333,10,4,10,7.333333333,83.4,5.5
LLW (MI),LLW5,6,11,74,13,5.769230769,71.15384615,12.5,10.57692308,1.833333333,2.166666667,0.909763314,5.6,8,11,22.6,45,90,116.6,3.982300885,34,1.8,3.7,13.66666667,9,7.666666667,10,10,10,10,87.11666667,6.5
LLW (MI),LLW6,3,24,50,25,2.941176471,49.01960784,24.50980392,23.52941176,8,8.333333333,0.899653979,11,11,22.6,45,90,128,174.8,2.844444444,67.4,1.333333333,4.026666667,11.33333333,0.666666667,0.333333333,10,10,10,10,87.71666667,16
ROL (MI),ROL1,2,18,39,17,2.631578947,51.31578947,22.36842105,23.68421053,9,8.5,0.889542936,8,11,11,38.5,90,128,128,3.324675325,79,2.533333333,5.74,17,5.666666667,6.333333333,10,10,10,10,84.35,11.5
ROL (MI),ROL2,2,18,52,15,2.298850575,59.77011494,17.24137931,20.68965517,9,7.5,0.912934337,5.6,8,11,32,90,128,128,4,79,3.266666667,4.393333333,16.33333333,6.333333333,6.666666667,10,10,10,10,86.35333333,3
ROL (MI),ROL3,2,15,43,24,2.380952381,51.19047619,28.57142857,17.85714286,7.5,12,0.895408163,8,11,16,32,90,128,128,4,74,1.716666667,5.746666667,16.66666667,7.666666667,9.333333333,10,10,10,10,89.03,3.5
ROL (MI),ROL4,5,15,50,18,5.681818182,56.81818182,20.45454545,17.04545455,3,3.6,0.903409091,5.6,8,10.25,27.3,64,128,128,4.688644689,53.75,1.5,3.146666667,15,8.333333333,8,10,10,10,10,79.55,6.5
ROL (MI),ROL5,8,17,51,8,9.523809524,60.71428571,9.523809524,20.23809524,2.125,1,0.905612245,4,8,11,22.6,90,128,128,5.663716814,79,0.693333333,2.026666667,12.33333333,5.666666667,6.333333333,10,10,10,10,68.37666667,6.33
ROL (MI),ROL6,4,12,39,10,6.153846154,60,15.38461538,18.46153846,3,2.5,0.911242604,4.64,8,11,32,64,128,180,4,53,0.866666667,1.446666667,10,8.333333333,7,10,10,10,10,78.33333333,10.25
ROL (MI),ROL7,7,4,56,8,9.333333333,74.66666667,10.66666667,5.333333333,0.571428571,1.142857143,0.906311111,4,4,8,16,38.5,55.07,90,3.441875,30.5,0.866666667,1.02,9.666666667,7.333333333,5.666666667,10,10,10,10,84.76,14.5
SPC (MI),SPC1,11,27,32,23,11.82795699,34.40860215,24.7311828,29.03225806,2.454545455,2.090909091,0.893976182,2.8,8,11,64,128,166.48,180,2.60125,117,2.333333333,6.76,10.66666667,6,7,9,9,9,9,76.47666667,3.5
SPC (MI),SPC2,10,27,33,21,10.98901099,36.26373626,23.07692308,29.67032967,2.7,2.1,0.896510083,2.8,5.6,9.5,64,128,128,128,2,118.5,3.95,5.12,11,3,10,6.333333333,10,8.666666667,10,74.68666667,3
SPC (MI),SPC3,11,21,40,32,10.57692308,38.46153846,30.76923077,20.19230769,1.909090909,2.909090909,0.905695266,3.16,6.752,11,64,90,128,128,2,79,3.683333333,3.706666667,13.66666667,3.666666667,6,8.333333333,6,10,9.666666667,90.99,1.25
SPC (MI),SPC4,13,35,48,19,11.30434783,41.73913043,16.52173913,30.43478261,2.692307692,1.461538462,0.896786389,2.8,8,16,45,128,128,180,2.844444444,112,2.633333333,3.486666667,12.66666667,5.666666667,4.666666667,7,5.333333333,9.666666667,9.666666667,71.48666667,1.75
SPC (MI),SPC5,6,34,50,33,4.87804878,40.6504065,26.82926829,27.64227642,5.666666667,5.5,0.89999339,5.6,9.56,16,64,128,128,180,2,112,2.1,4.966666667,16.66666667,8.666666667,8.333333333,9,10,10,10,85.58333333,2.25
SPC (MI),SPC6,7,32,40,26,6.666666667,38.0952381,24.76190476,30.47619048,4.571428571,3.714285714,0.893968254,8,11,22.6,64,128,128,180,2,105.4,1.716666667,4.546666667,11.66666667,2,4.333333333,10,9,10,9,88.56333333,4.25
SPC (MI),SPC7,12,26,51,16,11.42857143,48.57142857,15.23809524,24.76190476,2.166666667,1.333333333,0.917913832,2.8,5.6,8,32,90,128,180,4,82,1.65,2.566666667,10.33333333,6.666666667,6,7,7.666666667,9.666666667,9,82.18,2.25
SPC (MI),SPC8,9,3,89,27,7.03125,69.53125,21.09375,2.34375,0.333333333,3,0.868408203,8,11,20.95,32,45,64,64,2,24.05,2,2.38,12.33333333,8.666666667,7.666666667,10,4.333333333,10,9,89.09,0.5
