taxon,family,order,tv,ffg,habit
Peltoperla,Peltoperlidae,Plecoptera,2,SH,CN
Perlesta,Perlidae,Plecoptera,2,PR,CN
Prostoia,Nemouridae,Plecoptera,2,SH,SP
Pteronarcys,Pteronarcyidae,Plecoptera,2,SH,CN
Remenus,Perlodidae,Plecoptera,0,PR,CN
Soyedina,Nemouridae,Plecoptera,2,SH,SP
Strophopteryx,Taeniopterygidae,Plecoptera,2,SH,SP
Suwallia,Chloroperlidae,Plecoptera,0,PR,CN
Sweltsa,Chloroperlidae,Plecoptera,0,PR,CN
Taeniopteryx,Taeniopterygidae,Plecoptera,2,SH,SP
Tallaperla,Peltoperlidae,Plecoptera,2,SH,CN
Yugus,Perlodidae,Plecoptera,2,PR,CN
Adicrophleps,Brachycentridae,Trichoptera,NA,NA,CN
Agapetus,Glossosomatidae,Trichoptera,2,SC,CN
Apatania,Apataniidae,Trichoptera,3,SC,CN
Brachycentrus,Brachycentridae,Trichoptera,2,CF,CN
Ceraclea,Leptoceridae,Trichoptera,4,CG,CN
Ceratopsyche,Hydropsychidae,Trichoptera,1,CF,CN
Cernotina,Polycentropodidae,Trichoptera,4,PR,CN
Cheumatopsyche,Hydropsychidae,Trichoptera,6,CF,CN
Chimarra,Philopotamidae,Trichoptera,3,CF,CN
Cyrnellus,Polycentropodidae,Trichoptera,6,CF,CN
Dibusa,Hydroptilidae,Trichoptera,0,SC,CN
Diplectrona,Hydropsychidae,Trichoptera,6,CF,CN
Dolophilodes,Philopotamidae,Trichoptera,3,CF,CN
Glossosoma,Glossosomatidae,Trichoptera,0,SC,CN
Goera,Goeridae,Trichoptera,1,SC,CN
Homoplectra,Hydropsychidae,Trichoptera,2,CF,CN
Hydatophylax,Limnephilidae,Trichoptera,2,SH,SP
Hydropsyche,Hydropsychidae,Trichoptera,5,CF,CN
Hydroptila,Hydroptilidae,Trichoptera,3,SC,CN
Lepidostoma,Lepidostomatidae,Trichoptera,3,SH,CN
Lype,Psychomyiidae,Trichoptera,3,SC,CN
Mayatrichia,Hydroptilidae,Trichoptera,2,SC,CN
Micrasema,Brachycentridae,Trichoptera,1,SH,CN
Neophylax,Uenoidae,Trichoptera,2,SC,CN
Neotrichia,Hydroptilidae,Trichoptera,0,SC,CN
Ochrotrichia,Hydroptilidae,Trichoptera,4,CG,CN
Oecetis,Leptoceridae,Trichoptera,3,PR,CB-CN
Oligostomis,Phryganeidae,Trichoptera,2,PR,CB
Parapsyche,Hydropsychidae,Trichoptera,2,CF,CN
Polycentropus,Polycentropodidae,Trichoptera,4,PR,CN
Pseudostenophylax,Limnephilidae,Trichoptera,1,CG,SP
Pseudostenophylax,Limnephilidae,Trichoptera,2,SH,SP
Pseudostenophylax,Limnephilidae,Trichoptera,1,CG,SP
Pseudostenophylax,Limnephilidae,Trichoptera,2,SH,SP
Pycnopsyche,Limnephilidae,Trichoptera,2,SH,SP
Rhyacophila,Rhyacophilidae,Trichoptera,0,PR,CN
Stactobiella,Hydroptilidae,Trichoptera,5,SH,CN
Wormaldia,Philopotamidae,Trichoptera,1,CF,CN
