START,END,Season,Stream,SIM,dis.simm
CRO1,CRO2,Fall,CRO (R),0.802850356,150
CRO1,CRO3,Fall,CRO (R),0.776583035,520
CRO1,CRO4,Fall,CRO (R),0.725748503,890
CRO1,CRO5,Fall,CRO (R),0.672330097,1275
CRO1,CRO6,Fall,CRO (R),0.603174603,1710
CRO1,CRO7,Fall,CRO (R),0.654956085,2050
CRO2,CRO1,Fall,CRO (R),0.802850356,150
CRO2,CRO3,Fall,CRO (R),0.873969376,370
CRO2,CRO4,Fall,CRO (R),0.776859504,740
CRO2,CRO5,Fall,CRO (R),0.755980861,1125
CRO2,CRO6,Fall,CRO (R),0.684563758,1560
CRO2,CRO7,Fall,CRO (R),0.674907293,1900
CRO3,CRO2,Fall,CRO (R),0.873969376,370
CRO3,CRO4,Fall,CRO (R),0.817102138,370
CRO3,CRO5,Fall,CRO (R),0.78700361,755
CRO3,CRO6,Fall,CRO (R),0.690663667,1190
CRO3,CRO7,Fall,CRO (R),0.71641791,1530
CRO4,CRO3,Fall,CRO (R),0.817102138,370
CRO4,CRO5,Fall,CRO (R),0.788902292,385
CRO4,CRO6,Fall,CRO (R),0.701240135,820
CRO4,CRO7,Fall,CRO (R),0.743142145,1160
CRO5,CRO4,Fall,CRO (R),0.788902292,385
CRO5,CRO6,Fall,CRO (R),0.773972603,435
CRO5,CRO7,Fall,CRO (R),0.753476612,775
CRO6,CRO5,Fall,CRO (R),0.773972603,435
CRO6,CRO7,Fall,CRO (R),0.706713781,340
CRO7,CRO6,Fall,CRO (R),0.706713781,340
EAS1,EAS2,Fall,EAS (R),0.818181818,300
EAS1,EAS3,Fall,EAS (R),0.840909091,605
EAS1,EAS4,Fall,EAS (R),0.828675577,860
EAS1,EAS5,Fall,EAS (R),0.834183673,1185
EAS1,EAS6,Fall,EAS (R),0.785894207,1505
EAS1,EAS7,Fall,EAS (R),0.77394636,1850
EAS1,EAS8,Fall,EAS (R),0.787286064,2135
EAS2,EAS1,Fall,EAS (R),0.818181818,300
EAS2,EAS3,Fall,EAS (R),0.817518248,305
EAS2,EAS4,Fall,EAS (R),0.813599062,560
EAS2,EAS5,Fall,EAS (R),0.815724816,885
EAS2,EAS6,Fall,EAS (R),0.776699029,1205
EAS2,EAS7,Fall,EAS (R),0.777367774,1550
EAS2,EAS8,Fall,EAS (R),0.775943396,1835
EAS3,EAS2,Fall,EAS (R),0.817518248,305
EAS3,EAS4,Fall,EAS (R),0.897404203,255
EAS3,EAS5,Fall,EAS (R),0.877922078,580
EAS3,EAS6,Fall,EAS (R),0.825641026,900
EAS3,EAS7,Fall,EAS (R),0.842652796,1245
EAS3,EAS8,Fall,EAS (R),0.810945274,1530
EAS4,EAS3,Fall,EAS (R),0.897404203,255
EAS4,EAS5,Fall,EAS (R),0.851435705,325
EAS4,EAS6,Fall,EAS (R),0.816276202,645
EAS4,EAS7,Fall,EAS (R),0.8075,990
EAS4,EAS8,Fall,EAS (R),0.826347305,1275
EAS5,EAS4,Fall,EAS (R),0.851435705,325
EAS5,EAS6,Fall,EAS (R),0.852331606,320
EAS5,EAS7,Fall,EAS (R),0.888304862,665
EAS5,EAS8,Fall,EAS (R),0.814070352,950
EAS6,EAS5,Fall,EAS (R),0.852331606,320
EAS6,EAS7,Fall,EAS (R),0.850843061,345
EAS6,EAS8,Fall,EAS (R),0.82382134,630
EAS7,EAS6,Fall,EAS (R),0.850843061,345
EAS7,EAS8,Fall,EAS (R),0.842767296,285
EAS8,EAS7,Fall,EAS (R),0.842767296,285
FRY1,FRY2,Fall,FRY (MI),0.774193548,330
FRY1,FRY3,Fall,FRY (MI),0.863694268,735
FRY1,FRY4,Fall,FRY (MI),0.834419817,1155
FRY1,FRY5,Fall,FRY (MI),0.842783505,1480
FRY1,FRY6,Fall,FRY (MI),0.797590361,1765
FRY1,FRY7,Fall,FRY (MI),0.788265306,2080
FRY1,FRY8,Fall,FRY (MI),0.828258222,2215
FRY2,FRY1,Fall,FRY (MI),0.774193548,330
FRY2,FRY3,Fall,FRY (MI),0.834498834,405
FRY2,FRY4,Fall,FRY (MI),0.845238095,825
FRY2,FRY5,Fall,FRY (MI),0.817432273,1150
FRY2,FRY6,Fall,FRY (MI),0.801771872,1750
FRY2,FRY7,Fall,FRY (MI),0.805134189,1750
FRY2,FRY8,Fall,FRY (MI),0.789709172,1885
FRY3,FRY2,Fall,FRY (MI),0.834498834,405
FRY3,FRY4,Fall,FRY (MI),0.85786802,420
FRY3,FRY5,Fall,FRY (MI),0.888331242,745
FRY3,FRY6,Fall,FRY (MI),0.827262045,1030
FRY3,FRY7,Fall,FRY (MI),0.854658385,1345
FRY3,FRY8,Fall,FRY (MI),0.833729216,1480
FRY4,FRY3,Fall,FRY (MI),0.85786802,420
FRY4,FRY5,Fall,FRY (MI),0.880616175,325
FRY4,FRY6,Fall,FRY (MI),0.801920768,610
FRY4,FRY7,Fall,FRY (MI),0.843710292,925
FRY4,FRY8,Fall,FRY (MI),0.788834951,1060
FRY5,FRY4,Fall,FRY (MI),0.880616175,325
FRY5,FRY6,Fall,FRY (MI),0.817102138,285
FRY5,FRY7,Fall,FRY (MI),0.881909548,600
FRY5,FRY8,Fall,FRY (MI),0.845138055,735
FRY6,FRY5,Fall,FRY (MI),0.817102138,285
FRY6,FRY7,Fall,FRY (MI),0.847058824,315
FRY6,FRY8,Fall,FRY (MI),0.870349493,450
FRY7,FRY6,Fall,FRY (MI),0.847058824,315
FRY7,FRY8,Fall,FRY (MI),0.832342449,135
FRY8,FRY7,Fall,FRY (MI),0.832342449,135
LLW1,LLW2,Fall,LLW (MI),0.855780691,550
LLW1,LLW3,Fall,LLW (MI),0.85812357,810
LLW1,LLW4,Fall,LLW (MI),0.754478398,1310
LLW1,LLW5,Fall,LLW (MI),0.702253855,1560
LLW1,LLW6,Fall,LLW (MI),0.683544304,1950
LLW2,LLW1,Fall,LLW (MI),0.855780691,550
LLW2,LLW3,Fall,LLW (MI),0.858837485,260
LLW2,LLW4,Fall,LLW (MI),0.747276688,760
LLW2,LLW5,Fall,LLW (MI),0.768472906,1010
LLW2,LLW6,Fall,LLW (MI),0.708830549,1400
LLW3,LLW2,Fall,LLW (MI),0.858837485,260
LLW3,LLW4,Fall,LLW (MI),0.761804827,500
LLW3,LLW5,Fall,LLW (MI),0.805194805,750
LLW3,LLW6,Fall,LLW (MI),0.733104238,1140
LLW4,LLW3,Fall,LLW (MI),0.761804827,500
LLW4,LLW5,Fall,LLW (MI),0.665943601,250
LLW4,LLW6,Fall,LLW (MI),0.651898734,640
LLW5,LLW4,Fall,LLW (MI),0.665943601,250
LLW5,LLW6,Fall,LLW (MI),0.781472684,390
LLW6,LLW5,Fall,LLW (MI),0.781472684,390
ROL1,ROL2,Fall,ROL (MI),0.833939394,137
ROL1,ROL3,Fall,ROL (MI),0.781176471,335
ROL1,ROL4,Fall,ROL (MI),0.805755396,730
ROL1,ROL5,Fall,ROL (MI),0.815461347,1040
ROL1,ROL6,Fall,ROL (MI),0.780124224,1290
ROL2,ROL1,Fall,ROL (MI),0.833939394,137
ROL2,ROL3,Fall,ROL (MI),0.833524684,198
ROL2,ROL4,Fall,ROL (MI),0.835087719,593
ROL2,ROL5,Fall,ROL (MI),0.833535844,903
ROL2,ROL6,Fall,ROL (MI),0.791767554,1153
ROL3,ROL2,Fall,ROL (MI),0.833524684,198
ROL3,ROL4,Fall,ROL (MI),0.822727273,395
ROL3,ROL5,Fall,ROL (MI),0.773584906,310
ROL3,ROL6,Fall,ROL (MI),0.742655699,955
ROL4,ROL3,Fall,ROL (MI),0.822727273,395
ROL4,ROL5,Fall,ROL (MI),0.901442308,325
ROL4,ROL6,Fall,ROL (MI),0.838323353,560
ROL5,ROL4,Fall,ROL (MI),0.901442308,310
ROL5,ROL6,Fall,ROL (MI),0.844333748,250
ROL6,ROL5,Fall,ROL (MI),0.844333748,250
SPC1,SPC2,Fall,SPC (MI),0.773739742,397
SPC1,SPC3,Fall,SPC (MI),0.833538841,794
SPC1,SPC4,Fall,SPC (MI),0.77293578,1280
SPC1,SPC5,Fall,SPC (MI),0.803850782,1635
SPC1,SPC7,Fall,SPC (MI),0.848192771,2410
SPC1,SPC8,Fall,SPC (MI),0.827930175,2550
SPC2,SPC1,Fall,SPC (MI),0.773739742,397
SPC2,SPC3,Fall,SPC (MI),0.789976134,397
SPC2,SPC4,Fall,SPC (MI),0.847608454,883
SPC2,SPC5,Fall,SPC (MI),0.82983683,1238
SPC2,SPC7,Fall,SPC (MI),0.854142357,2013
SPC2,SPC8,Fall,SPC (MI),0.774427021,2153
SPC3,SPC2,Fall,SPC (MI),0.789976134,397
SPC3,SPC4,Fall,SPC (MI),0.737456243,486
SPC3,SPC5,Fall,SPC (MI),0.803921569,841
SPC3,SPC7,Fall,SPC (MI),0.804907975,1616
SPC3,SPC8,Fall,SPC (MI),0.777636595,1756
SPC4,SPC3,Fall,SPC (MI),0.737456243,486
SPC4,SPC5,Fall,SPC (MI),0.814139111,355
SPC4,SPC7,Fall,SPC (MI),0.815068493,1130
SPC4,SPC8,Fall,SPC (MI),0.775943396,1270
SPC5,SPC4,Fall,SPC (MI),0.814139111,355
SPC5,SPC7,Fall,SPC (MI),0.85748503,775
SPC5,SPC8,Fall,SPC (MI),0.802973978,915
SPC7,SPC5,Fall,SPC (MI),0.85748503,775
SPC7,SPC8,Fall,SPC (MI),0.818858561,140
SPC8,SPC7,Fall,SPC (MI),0.818858561,140
CRO1,CRO2,Spring,CRO (R),0.917372528,150
CRO1,CRO3,Spring,CRO (R),0.907473574,520
CRO1,CRO4,Spring,CRO (R),0.904045575,1275
CRO1,CRO5,Spring,CRO (R),0.93539821,1275
CRO1,CRO6,Spring,CRO (R),0.877978653,1710
CRO1,CRO7,Spring,CRO (R),0.857350675,2050
CRO2,CRO1,Spring,CRO (R),0.917372528,150
CRO2,CRO3,Spring,CRO (R),0.933279886,370
CRO2,CRO4,Spring,CRO (R),0.887067791,740
CRO2,CRO5,Spring,CRO (R),0.904395569,1125
CRO2,CRO6,Spring,CRO (R),0.898747307,1560
CRO2,CRO7,Spring,CRO (R),0.827648317,1900
CRO3,CRO2,Spring,CRO (R),0.933279886,370
CRO3,CRO4,Spring,CRO (R),0.892795375,370
CRO3,CRO5,Spring,CRO (R),0.89363666,755
CRO3,CRO6,Spring,CRO (R),0.887189213,1190
CRO3,CRO7,Spring,CRO (R),0.82928573,1530
CRO4,CRO3,Spring,CRO (R),0.892795375,370
CRO4,CRO5,Spring,CRO (R),0.891844331,385
CRO4,CRO6,Spring,CRO (R),0.883802212,820
CRO4,CRO7,Spring,CRO (R),0.895466603,1160
CRO5,CRO4,Spring,CRO (R),0.891844331,385
CRO5,CRO6,Spring,CRO (R),0.907148643,435
CRO5,CRO7,Spring,CRO (R),0.851388932,775
CRO6,CRO5,Spring,CRO (R),0.907148643,435
CRO6,CRO7,Spring,CRO (R),0.873732003,340
CRO7,CRO6,Spring,CRO (R),0.873732003,340
EAS1,EAS2,Spring,EAS (R),0.872467021,360
EAS1,EAS3,Spring,EAS (R),0.874334844,610
EAS1,EAS4,Spring,EAS (R),0.882446165,935
EAS1,EAS5,Spring,EAS (R),0.918260984,1260
EAS1,EAS6,Spring,EAS (R),0.908698835,1500
EAS1,EAS7,Spring,EAS (R),0.868660578,1785
EAS1,EAS8,Spring,EAS (R),0.8975288,2115
EAS1,EAS9,Spring,EAS (R),0.830939728,2500
EAS2,EAS1,Spring,EAS (R),0.872467021,360
EAS2,EAS3,Spring,EAS (R),0.914036945,250
EAS2,EAS4,Spring,EAS (R),0.933077616,575
EAS2,EAS5,Spring,EAS (R),0.910043613,900
EAS2,EAS6,Spring,EAS (R),0.93260169,1140
EAS2,EAS7,Spring,EAS (R),0.87030799,1425
EAS2,EAS8,Spring,EAS (R),0.865729493,1755
EAS2,EAS9,Spring,EAS (R),0.782442303,2140
EAS3,EAS2,Spring,EAS (R),0.914036945,250
EAS3,EAS4,Spring,EAS (R),0.892338399,325
EAS3,EAS5,Spring,EAS (R),0.898087841,650
EAS3,EAS6,Spring,EAS (R),0.907738033,890
EAS3,EAS7,Spring,EAS (R),0.825719712,1175
EAS3,EAS8,Spring,EAS (R),0.832706794,1505
EAS3,EAS9,Spring,EAS (R),0.753708955,1890
EAS4,EAS3,Spring,EAS (R),0.892338399,325
EAS4,EAS5,Spring,EAS (R),0.945342564,325
EAS4,EAS6,Spring,EAS (R),0.94727652,565
EAS4,EAS7,Spring,EAS (R),0.874392387,850
EAS4,EAS8,Spring,EAS (R),0.878164151,1180
EAS4,EAS9,Spring,EAS (R),0.806510615,1565
EAS5,EAS4,Spring,EAS (R),0.945342564,325
EAS5,EAS6,Spring,EAS (R),0.952711295,240
EAS5,EAS7,Spring,EAS (R),0.867940872,525
EAS5,EAS8,Spring,EAS (R),0.884009462,855
EAS5,EAS9,Spring,EAS (R),0.8226886,1240
EAS6,EAS5,Spring,EAS (R),0.952711295,240
EAS6,EAS7,Spring,EAS (R),0.880670674,285
EAS6,EAS8,Spring,EAS (R),0.888098644,615
EAS6,EAS9,Spring,EAS (R),0.801210324,0
EAS7,EAS6,Spring,EAS (R),0.880670674,285
EAS7,EAS8,Spring,EAS (R),0.938286853,330
EAS7,EAS9,Spring,EAS (R),0.872982631,715
EAS8,EAS7,Spring,EAS (R),0.938286853,330
EAS8,EAS9,Spring,EAS (R),0.870058448,385
EAS9,EAS8,Spring,EAS (R),0.870058448,385
FRY1,FRY2,Spring,FRY (MI),0.950434224,320
FRY1,FRY3,Spring,FRY (MI),0.942005865,615
FRY1,FRY4,Spring,FRY (MI),0.913852051,940
FRY1,FRY5,Spring,FRY (MI),0.917238028,1305
FRY1,FRY6,Spring,FRY (MI),0.909130621,1755
FRY1,FRY7,Spring,FRY (MI),0.904006574,2095
FRY1,FRY8,Spring,FRY (MI),0.884863006,2425
FRY1,FRY9,Spring,FRY (MI),0.792359505,2785
FRY2,FRY1,Spring,FRY (MI),0.950434224,320
FRY2,FRY3,Spring,FRY (MI),0.942095425,295
FRY2,FRY4,Spring,FRY (MI),0.901346904,620
FRY2,FRY5,Spring,FRY (MI),0.928895938,985
FRY2,FRY6,Spring,FRY (MI),0.916223089,1435
FRY2,FRY7,Spring,FRY (MI),0.89059891,1775
FRY2,FRY8,Spring,FRY (MI),0.903326298,2105
FRY2,FRY9,Spring,FRY (MI),0.827985144,2465
FRY3,FRY2,Spring,FRY (MI),0.942095425,295
FRY3,FRY4,Spring,FRY (MI),0.900607734,325
FRY3,FRY5,Spring,FRY (MI),0.915899064,690
